Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	7–6	Riki Fukuda	Decision (unanimous)	UFC 144	3	5:00	Saitama , Japan
Loss	7–5	Mike Massenzio	Decision (unanimous)	UFC 136	3	5:00	Houston, Texas, United States
Loss	7–4	Cyrille Diabaté	Decision (unanimous)	UFC Live: Sanchez vs. Kampmann	3	5:00	Louisville, Kentucky, United States
Loss	7–3	Brian Stann	Decision (unanimous)	UFC Fight Night: Diaz vs. Guillard	3	5:00	Oklahoma City, Oklahoma, United States
Loss	7–2	Luiz Cané	Decision (unanimous)	UFC 97	3	5:00	Montreal, Quebec, Canada
Win	7–1	Razak Al-Hassan	Technical submission (armbar)	UFC: Fight for the Troops	1	4:04	Fayetteville, North Carolina , United States
Win	6–1	Brian Stann	TKO (punches)	WEC 35	2	4:01	Las Vegas, Nevada, United States
Win	5–1	Tim McKenzie	Submission (rear-naked choke)	WEC 33	1	2:13	Las Vegas, Nevada, United States
Win	4–1	Justin McElfresh	TKO (punches)	WEC 29	1	0:47	Las Vegas, Nevada, United States
Loss	3–1	Brian Stann	TKO (punches)	WEC 26	1	0:41	Las Vegas, Nevada, United States
Win	3–0	Leonardo Pecanha	TKO (doctor stoppage)	Jungle Fight Europe	3	2:32	Ljubljana , Slovenia
Win	2–0	Mike Ashford	Submission (armbar)	RITC 78: Back with a Vengeance	1	2:01	Glendale, Arizona , United States
Win	1–0	Richie Hightower	Submission (armbar)	RITC 68: Hello Glendale!	1	2:45	Glendale, Arizona, United States
