Race	Length	Class	Circuit	Date
SunBank 24 at Daytona	24 Hours	All	Daytona International Speedway	February 2 February 3
Löwenbräu Grand Prix of Miami	3 Hours	Proto	Streets of Miami	February 24
Löwenbräu Grand Prix of Miami	45 Minutes	GTO	Streets of Miami	February 24
Löwenbräu Grand Prix of Miami	45 Minutes	GTU	Streets of Miami	February 24
Coca-Cola Classic 12 Hours of Sebring	12 Hours	All	Sebring International Raceway	March 23
Atlanta Journal-Constitution Grand Prix	500km	All	Road Atlanta	April 14
Los Angeles Times / Nissan Grand Prix	600km	All	Riverside International Raceway	April 28
Nissan Monterey Triple Crown	300km	Proto	Laguna Seca Raceway	May 5
Nissan Monterey Triple Crown	100km	GT	Laguna Seca Raceway	May 5
Grand Prix of Charlotte	300km	GT	Charlotte Motor Speedway	May 18
Grand Prix of Charlotte	500km	Proto	Charlotte Motor Speedway	May 19
Coca-Cola 500	2 Hours	GT	Lime Rock Park	May 27
Coca-Cola 500	2 Hours	Proto	Lime Rock Park	May 27
Lumbermen's 500k	300km	GT	Mid-Ohio Sports Car Course	June 8
Lumbermen's 500k	500km	Proto	Mid-Ohio Sports Car Course	June 9
Camel Continental	3 Hours	GT	Watkins Glen International	July 6
Camel Continental	3 Hours	Proto	Watkins Glen International	July 6
G.I. Joe's Grand Prix	200km	GT	Portland International Raceway	July 28
G.I. Joe's Grand Prix	300km	Proto	Portland International Raceway	July 28
Ford California Grand Prix	300km	Proto	Sears Point Raceway	August 4
Ford California Grand Prix	100km	GT	Sears Point Raceway	August 4
Löwenbräu Classic	500 Miles	All	Road America	August 25
Grand Prix at Pocono	500km	All	Pocono Raceway	September 8
Serengeti Drivers New York 500	500km	All	Watkins Glen International	September 29
Columbus Ford Dealers 500	1 Hour	GT	Columbus street course	October 5
Columbus Ford Dealers 500	500km	Proto	Columbus street course	October 6
Eastern 3 Hours of Daytona	3 Hours	All	Daytona International Speedway	December 1
