Place (Posición)	Team (Equipo)	Played (PJ)	Won (PG)	Draw (PE)	Lost (PP)	Goals Scored (GF)	Goals Conceded (GC)	+/- (Dif.)	Points (Pts.)
1.	Árabe Unido	31	17	6	8	54	31	+23	57
2.	Tauro	31	16	8	7	54	41	+13	56
3.	San Francisco	31	14	11	6	54	42	+12	53
4.	Chepo	31	13	10	8	50	31	+19	49
5.	Sporting San Miguelito	31	11	10	10	44	40	+4	43
6.	Atlético Veragüense	31	9	11	11	40	48	-8	38
7.	Chorrillo	31	7	13	11	32	39	-7	34
8.	Atlético Chiriquí	31	9	7	15	33	64	-31	34
9.	Alianza	31	9	4	18	45	51	-6	31
10.	Plaza Amador	31	6	8	17	22	41	-19	27
