Place	Player	Country	Score	To par	Money ( $ )
1	Shaun Micheel	United States	69-68-69-70=276	–4	1,080,000
2	Chad Campbell	United States	69-72-65-72=278	–2	648,000
3	Tim Clark	South Africa	72-70-68-69=279	–1	408,000
4	Alex Čejka	Germany	74-69-68-69=280	E	288,000
T5	Ernie Els	South Africa	71-70-70-71=282	+2	214,000
T5	Jay Haas	United States	70-74-69-69=282	+2	214,000
T7	Fred Funk	United States	69-73-70-72=284	+4	175,667
T7	Loren Roberts	United States	70-73-70-71=284	+4	175,667
T7	Mike Weir	Canada	68-71-70-75=284	+4	175,667
T10	Billy Andrade	United States	67-72-72-74=285	+5	135,500
T10	Niclas Fasth	Sweden	76-70-71-68=285	+5	135,500
T10	Charles Howell III	United States	70-72-70-73=285	+5	135,500
T10	Kenny Perry	United States	75-72-70-68=285	+5	135,500
