Year	Tournament	Surface	Round	Winner	Score	Length (H:MM)	Sets	Federer	Nadal
2004	Miami	Hard	R32	Nadal	6–3, 6–3	1:10	2/3	0	1
2005	Miami	Hard	Final	Federer	2–6, 6–7 (4–7) , 7–6 (7–5) , 6–3, 6–1	3:43	5/5	1	1
2005	Roland Garros	Clay	Semi-final	Nadal	6–3, 4–6, 6–4, 6–3	2:47	4/5	1	2
2006	Dubai	Hard	Final	Nadal	2–6, 6–4, 6–4	1:53	3/3	1	3
2006	Monte Carlo	Clay	Final	Nadal	6–2, 6–7 (2–7) , 6–3, 7–6 (7–5)	3:50	4/5	1	4
2006	Rome	Clay	Final	Nadal	6–7 (0–7) , 7–6 (7–5) , 6–4, 2–6, 7–6 (7–5)	5:05	5/5	1	5
2006	Roland Garros	Clay	Final	Nadal	1–6, 6–1, 6–4, 7–6 (7–4)	3:02	4/5	1	6
2006	Wimbledon	Grass	Final	Federer	6–0, 7–6 (7–5) , 6–7 (2–7) , 6–3	2:58	4/5	2	6
2006	Tennis Masters Cup	Hard (i)	Semi-final	Federer	6–4, 7–5	1:53	2/3	3	6
2007	Monte Carlo	Clay	Final	Nadal	6–4, 6–4	1:35	2/3	3	7
2007	Hamburg	Clay	Final	Federer	2–6, 6–2, 6–0	1:55	3/3	4	7
2007	Roland Garros	Clay	Final	Nadal	6–3, 4–6, 6–3, 6–4	3:10	4/5	4	8
2007	Wimbledon	Grass	Final	Federer	7–6 (9–7) , 4–6, 7–6 (7–3) , 2–6, 6–2	3:45	5/5	5	8
2007	Tennis Masters Cup	Hard (i)	Semi-final	Federer	6–4, 6–1	0:59	2/3	6	8
2008	Monte Carlo	Clay	Final	Nadal	7–5, 7–5	1:43	2/3	6	9
2008	Hamburg	Clay	Final	Nadal	7–5, 6–7 (3–7) , 6–3	2:52	3/3	6	10
2008	Roland Garros	Clay	Final	Nadal	6–1, 6–3, 6–0	1:48	3/5	6	11
2008	Wimbledon	Grass	Final	Nadal	6–4, 6–4, 6–7 (5–7) , 6–7 (8–10) , 9–7	4:48	5/5	6	12
2009	Australian Open	Hard	Final	Nadal	7–5, 3–6, 7–6 (7–3) , 3–6, 6–2	4:23	5/5	6	13
2009	Madrid	Clay	Final	Federer	6–4, 6–4	1:26	2/3	7	13
2010	Madrid	Clay	Final	Nadal	6–4, 7–6 (7–5)	2:10	2/3	7	14
2010	ATP World Tour Finals	Hard (i)	Final	Federer	6–3, 3–6, 6–1	1:37	3/3	8	14
2011	Miami	Hard	Semi-final	Nadal	6–3, 6–2	1:18	2/3	8	15
2011	Madrid	Clay	Semi-final	Nadal	5–7, 6–1, 6–3	2:36	3/3	8	16
2011	Roland Garros	Clay	Final	Nadal	7–5, 7–6 (7–5) , 5–7, 6–1	3:40	4/5	8	17
2011	ATP World Tour Finals	Hard (i)	RR	Federer	6–3, 6–0	1:00	2/3	9	17
2012	Australian Open	Hard	Semi-final	Nadal	6–7 (5–7) , 6–2, 7–6 (7–5) , 6–4	3:42	4/5	9	18
2012	Indian Wells	Hard	Semi-final	Federer	6–3, 6–4	1:31	2/3	10	18
2013	Indian Wells	Hard	Quarter-final	Nadal	6–4, 6–2	1:24	2/3	10	19
2013	Rome	Clay	Final	Nadal	6–1, 6–3	1:08	2/3	10	20
2013	Cincinnati	Hard	Quarter-final	Nadal	5–7, 6–4, 6–3	2:14	3/3	10	21
