Week	Date	Opponent	Result	TV Time	Attendance
1	August 31, 1997	at Tennessee Oilers	L 24–21	NBC 10:00am	30,171
2	September 8, 1997	Kansas City Chiefs	L 28–27	ABC 6:00pm	61,523
3	September 14, 1997	at Atlanta Falcons	W 36–31	NBC 10:00am	47,922
4	September 21, 1997	at New York Jets	L 23–22	NBC 10:00am	72,586
5	September 28, 1997	St. Louis Rams	W 35–17	FOX 1:15pm	42,506
6	October 5, 1997	San Diego Chargers	L 25–10	NBC 1:15pm	43,648
7	Bye	Bye	Bye	Bye	Bye
8	October 19, 1997	Denver Broncos	W 28–25	NBC 1:15pm	57,006
9	October 26, 1997	at Seattle Seahawks	L 45–34	NBC 1:15pm	66,264
10	November 2, 1997	at Carolina Panthers	L 38–14	NBC 10:00am	71,064
11	November 9, 1997	New Orleans Saints	L 13–10	FOX 1:15pm	40,091
12	November 16, 1997	at San Diego Chargers	W 38–13	NBC 1:15pm	65,714
13	November 24, 1997	at Denver Broncos	L 31–3	ABC 6:00pm	75,307
14	November 30, 1997	Miami Dolphins	L 34–16	NBC 1:15pm	50,569
15	December 7, 1997	at Kansas City Chiefs	L 30–0	NBC 10:00am	76,379
16	December 14, 1997	Seattle Seahawks	L 22–21	NBC 1:15pm	40,124
17	December 21, 1997	Jacksonville Jaguars	L 20–9	NBC 1:15pm	40,032
