Date	Opponent	Venue	Result	Attendance
2 August 2008	Dunfermline Athletic	Firhill	1-0	3,092
9 August 2008	Airdrie Utd	New Broomfield	1–0	2,165
17 August 2008	Queen of the South	Palmerston Park	0–2	3,272
23 August 2008	St. Johnstone	Firhill	4–0	2,961
30 August 2008	Ross County	Firhill	0–1	2,945
13 September 2008	Clyde	Broadwood	1–1	2,191
20 September 2008	Greenock Morton	Firhill	2–1	3,368
27 September 2008	Livingston	Almondvale	1–3	2,150
4 October 2008	Dundee	Firhill	0–0	2,556
18 October 2008	Dunfermline Athletic	East End Park	0–1	3,242
25 October 2008	St. Johnstone	McDiarmid Park	0–3	2,771
1 November 2008	Queen of the South	Firhill	2–0	2,971
8 November 2008	Clyde	Firhill	2–0	3,003
22 November 2008	Livingston	Firhill	2–1	2,416
25 November 2008	Ross County	Victoria Park	0–1	1,625
13 December 2008	Airdrie United	Firhill	2–1	2,296
20 December 2008	Dundee	Dens Park	0–0	3,569
27 December 2008	Ross County	Firhill	0–2	2,465
30 December 2008	Greenock Morton	Cappielow	0–2	2,385
3 January 2009	Clyde	Broadwood	4–2	2,016
17 January 2009	St. Johnstone	Firhill	0–0	3,353
24 January 2009	Queen of the South	Palmerston Park	2–2	2,811
31 January 2009	Airdrie United	New Broomfield	1–0	1,988
14 February 2009	Dunfermline Atthletic	Firhill	2–3	2,957
21 February 2009	Greenock Morton	Firhill	1–0	3,348
28 February 2009	Livingston	Almondvale	4–2	2,876
7 March 2009	Clyde	Firhill	0–1	3,579
10 March 2009	Ross County	Victoria Park	2–0	2,017
14 March 2009	Dunfermline Atthletic	East End Park	1–0	2,736
22 March 2009	Dundee	Firhill	1–1	3,303
4 April 2009	St. Johnstone	McDiarmid Park	1–1	4,909
11 April 2009	Queen of the South	Firhill	0–2	2,830
18 April 2009	Greenock Morton	Cappielow	1–0	3,323
25 April 2009	Livingston	Firhill	1–0	2,803
2 May 2009	Airdrie United	Firhill	0–1	3,255
9 May 2009	Dundee	Dens Park	0–4	2,831
