Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	20–10–1	Alp Ozkilic	TKO (punches)	Legacy Fighting Championship 20	1	0:30	Corpus Christi, Texas , United States
Draw	20–9–1	Rafael De Freitas	Draw (split)	Legacy Fighting Championship 18	3	5:00	Houston, Texas , United States
Loss	20–9	Joshua Sampo	Decision (unanimous)	Legacy Fighting Championships 14	3	5:00	Houston, Texas , United States
Loss	20–8	Bibiano Fernandes	TKO (punches)	Fight For Japan: Genki Desu Ka Omisoka 2011	1	1:21	Saitama , Japan
Win	20–7	Masakazu Imanari	Decision (split)	Fight For Japan: Genki Desu Ka Omisoka 2011	2	5:00	Saitama , Japan
Win	19–7	Hideo Tokoro	Decision (split)	Dream 17	3	5:00	Saitama , Japan
Loss	18–7	Miguel Torres	Decision (unanimous)	UFC 126	3	5:00	Las Vegas, Nevada , United States
Win	18–6	Chad George	Decision (unanimous)	WEC 51	3	5:00	Broomfield, Colorado , United States
Loss	17–6	Scott Jorgensen	Decision (unanimous)	WEC 48	3	5:00	Sacramento, California , United States
Win	17–5	Kenji Osawa	Decision (unanimous)	WEC 44	3	5:00	Las Vegas, Nevada , United States
Win	16–5	Scott Jorgensen	Decision (split)	WEC 41	3	5:00	Sacramento, California , United States
Win	15–5	Bryan Goldsby	KO (punch)	PFC 10: Explosive	2	0:59	Lemoore, California , United States
Loss	14–5	Manny Tapia	Decision (split)	WEC 32	3	5:00	Albuquerque, New Mexico , United States
Win	14–4	Justin Robbins	Decision (unanimous)	WEC 29	3	5:00	Las Vegas, Nevada , United States
Loss	13–4	Charlie Valencia	KO (punch)	WEC 26	1	3:12	Las Vegas, Nevada , United States
Win	13–3	Mike French	Decision (unanimous)	WEC 25	3	5:00	Las Vegas, Nevada , United States
Win	12–3	Cole Escovedo	Decision (unanimous)	WEC 23	3	5:00	Lemoore, California , United States
Loss	11–3	Eddie Wineland	KO (head kick and punches)	WEC 20	1	2:36	Lemoore, California , United States
Win	11–2	James Cottrell	Decision (unanimous)	WEC 19	3	5:00	Lemoore, California , United States
Win	10–2	Kimihito Nonaka	TKO (punches)	FFCF 5: Unleashed	1	1:00	Mangilao , Guam
Win	9–2	Justin Tavernini	Decision (unanimous)	Ultimate Cage Wars 3	3	5:00	Winnipeg, Manitoba , Canada
Win	8–2	Ed Tomaselli	TKO (cut)	WEC 17	1	2:25	Lemoore, California , United States
Win	7–2	Mike Lindquist	Submission (rear naked choke)	WEC 14	1	1:38	Lemoore, California , United States
Win	6–2	Brandon Shuey	TKO (punches)	SF 6: Battleground in Reno	1	0:22	Reno, Nevada , United States
Win	5–2	Yobie Song	TKO (cut)	Rumble on the Rock 4	3	2:39	Honolulu, Hawaii , United States
Win	4–2	Jim Kikuchi	Decision (unanimous)	Rumble on the Rock 2	2	5:00	Honolulu, Hawaii , United States
Loss	3–2	Jeff Bedard	Submission (guillotine choke)	WEC 5	1	0:43	Lemoore, California , United States
Win	3–1	Steve Hecht	Decision (unanimous)	UAGF 1: Ultimate Cage Fighting 1	2	5:00	Los Angeles, California , United States
Loss	2–1	Stephen Palling	Submission (triangle choke)	Warriors Quest 2: Battle of Champions	1	0:38	Honolulu, Hawaii , United States
Win	2–0	Brian Peterson	KO	IFC Warriors Challenge 14	3	1:51	Fresno, California , United States
Win	1–0	Daniel Garlets	TKO (punches)	IFC Warriors Challenge 13	1	N/A	Oroville, California , United States
