Season	Skip	Third	Second	Lead
1984–85	Kevin Martin	Richard Feeney	Dan Petryk	Michael Berger
1985–86	Kevin Martin	Richard Feeney	Dan Petryk	Michael Berger
1990–91	Kevin Martin	Kevin Park	Dan Petryk	Don Bartlett
1991–92	Kevin Martin	Kevin Park	Dan Petryk	Don Bartlett
1993–94	Kevin Martin	Kevin Park	Ken Tralnberg	Don Bartlett
1994–95	Kevin Martin	Kevin Park	James Pahl	Don Bartlett
1995–96	Kevin Martin	Don Walchuk	Shawn Broda	Don Bartlett
1996–97	Kevin Martin	Don Walchuk	Rudy Ramcharan	Don Bartlett
1997–98	Kevin Martin	Don Walchuk	Rudy Ramcharan	Don Bartlett
1998–99	Kevin Martin	Don Walchuk	Rudy Ramcharan	Don Bartlett
1999–00	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2000–01	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2001–02	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2002–03	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2003–04	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2004–05	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2005–06	Kevin Martin	Don Walchuk	Carter Rycroft	Don Bartlett
2006–07	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2007–08	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2008–09	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2009–10	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2010–11	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2011–12	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2012–13	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
2013–14	Kevin Martin	David Nedohin	Marc Kennedy	Ben Hebert
