No.1	No.2	No.3	No.4	No.5	No.6	No.7	No.8	FINAL
Voted	Jorge Cinha	Jorge Nicole	Nicole Sónia	Carlos Simara	Carlos Nicole	João Nicole	Carlos João	Winner (Day 58)
Voted	Nuno Daniela	Daniela Sónia	Romana Nuno	Carlos Simara	Daniela Carlos	Carlos Sónia	Carlos João	Runner-Up (Day 58)
Not in house	Not in house	Not in house	Exempt	Carlos Simara	Romana Carlos	Carlos Sónia	Carlos Ricky	Third place (Day 58)
Not in house	Not in house	Not in house	Exempt	Daniela Simara	Daniela Ricky	Nicole João	João Ricky	Evicted (Day 51)
Voted	Nuno Zé Maria	Nuno Ricky	Romana Nuno	Romana Carlos	Ricky Romana	Carlos João	Evicted (Day 44)	Evicted (Day 44)
Voted	Mateus Nuno	Nuno Francisco	Romana Nuno	Daniela Ricky	Daniela Romana	Carlos João	Evicted (Day 44)	Evicted (Day 44)
Voted	Nuno Zé Maria	Nuno Francisco	Romana Nuno	João Carlos	Carlos João	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)
Voted	Jorge Mateus	Cinha Jorge	Nicole Sónia	Carlos Simara	Sónia Carlos	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)
Not in house	Not in house	Not in house	Exempt	Romana Carlos	Evicted (Day 30)	Evicted (Day 30)	Evicted (Day 30)	Evicted (Day 30)
Voted	Julie Cinha	Cinha Julie	Nicole Sónia	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)
Voted	Nuno Daniela	Jorge Julie	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)
Voted	Nuno Ricky	Romana Nuno	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)
Voted	Mateus Nuno	Nuno Zé Maria	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)	Walked (Day 17)
Voted	Ricky Daniela	Nuno Zé Maria	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)
Voted	Nuno Sonia	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)
Voted	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)
All housemates	Daniela Mateus Nuno	Jorge Nuno	Nuno Romana	Carlos Simara	Carlos Daniela Romana Ricky	Carlos João Nicole Sónia	Carlos João	Francisco João Ricky
Victor	Mateus	Jorge	Nuno	Simara	Daniela Romana	Nicole Sónia	Carlos	João
Victor	Mateus	Jorge	Nuno	Simara	Daniela Romana	Nicole Sónia	Carlos	Francisco
Victor	Mateus	Jorge	Nuno	Simara	Daniela Romana	Nicole Sónia	Carlos	Ricky
