CERCLIS ID	Name	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
IDD000800961	Arrcom (Drexler Enterprises)	Kootenai	12/30/1982	09/08/1983	06/30/1992	–	12/23/1992
IDD980725832	Blackbird Mine	Lemhi	05/10/1993	–	–	–	–
IDD048340921	Bunker Hill Mining & Metallurgical	Shoshone	12/30/1982	09/08/1983	–	–	–
IDD984666610	Eastern Michaud Flats Contamination	Power and Bannock	05/05/1989	08/30/1990	–	–	–
ID4890008952	Idaho National Laboratory ( DOE )	Butte , Clark , Jefferson , and Bingham	07/14/1989	11/21/1989	–	–	–
IDD041310707	Kerr-McGee Chemical Corp. (Soda Springs)	Caribou	05/05/1989	10/04/1989	09/26/2001	–	–
IDD081830994	Monsanto Chemical Co. (Soda Springs)	Caribou	05/05/1989	08/30/1990	09/20/2000	–	–
ID3572124557	Mountain Home Air Force Base	Elmore	07/14/1989	08/30/1990	09/30/1998	–	–
IDD098812878	Pacific Hide & Fur Recycling Co.	Bannock	09/08/1983	09/21/1984	09/29/1997	–	11/04/1999
IDSFN1002095	St. Maries Creosote	Benewah	12/01/2000	–	–	–	–
IDD980665459	Stibnite/Yellow Pine Mining Area	Valley	09/13/2001	–	–	–	–
IDD055030852	Union Pacific Railroad Co.	Bannock	09/08/1983	09/21/1984	09/19/1996	–	09/22/1997
