Country	Airport	City	2010	Change (10/09)
South Africa	OR Tambo International Airport	Johannesburg	18,383,549	0 11.4%
Egypt	Cairo International Airport	Cairo	16,148,480	0 12.3%
Spain	Gran Canaria Airport	Las Palmas de Gran Canaria	9,486,035	0 3.6%
Egypt	Sharm el-Sheikh International Airport	Sharm el-Sheikh	8,693,990	0 17.0%
South Africa	Cape Town International Airport	Cape Town	8,107,648	0 5.0%
Egypt	Hurghada International Airport	Hurghada	8,062,652	0 19.8%
Spain	Tenerife Sur	Granadilla de Abona	7,358,986	0 3.5%
Morocco	Mohammed V International Airport	Casablanca	7,245,508	0 13.3%
Nigeria	Murtala Muhammed International Airport	Lagos	6,273,545	0 11.1%
Kenya	Jomo Kenyatta International Airport	Nairobi	5,485,771	0 8.0%
Spain	Lanzarote Airport	San Bartolomé, Las Palmas	4,938,343	0 5.0%
South Africa	King Shaka International Airport	Durban	4,757,800	0 10.5%
Ethiopia	Bole International Airport	Addis Ababa	4,562,036	0 13.83
Spain	Fuerteventura Airport	Puerto del Rosario	4,173,590	0 11.6%
Spain	Tenerife Norte	San Cristóbal de La Laguna	4,051,356	0 0.1%
Nigeria	Nnamdi Azikiwe International Airport	Abuja	3,922,547	0 22.7%
Morocco	Marrakech-Menara Airport	Marrakech	3,453,044	0 15.0%
Mauritius	Sir Seewoosagur Ramgoolam International Airport	Mauritius	2,509,156	0 8.5%
France	La Réunion Roland Garros Airport	Saint-Denis	1,911,336	0 13.5%
Senegal	Léopold Sédar Senghor International Airport	Dakar	1,687,006	unknown
Morocco	Agadir–Al Massira Airport	Agadir	1,621,272	0 11.3%
Tanzania	Julius Nyerere International Airport	Dar es Salaam	1,556,410	0 9.4%
South Africa	Port Elizabeth Airport	Port Elizabeth	1,400,688	0 3.2%
Ghana	Kotoka International Airport	Accra	1,387,045	unknown
Nigeria	Port Harcourt International Airport	Port Harcourt	1,211,816	0 12.0%
South Africa	Lanseria International Airport	Krugersdorp	1,000,000	unknown
