Year	2010	2009	2008	2005	2000	1995	1990	1985
Mainland China	4,434	3,749	2,894	1,732	949	604	344	292
Shanghai	11,238	10,125	8,171	6,061	3,630	2,129	1,236	1,298
Beijing	11,218	10,314	8,154	5,615	2,914	1,520	969	900
Tianjin	10,783	9,160	7,160	4,614	2,096	1,170	729	739
Jiangsu	7,806	6,478	4,885	3,005	1,421	876	441	359
Zhejiang	7,639	6,418	5,055	3,304	1,620	976	447	363
Inner Mongolia	6,994	5,817	4,257	1,988	785	452	309	275
Guangdong	6,608	5,773	4,595	3,009	1,538	973	519	349
Liaoning	6,257	5,146	3,875	2,328	1,350	824	564	481
Shandong	6,072	5,255	4,021	2,433	1,127	683	379	302
Fujian	5,913	4,895	3,632	2,240	1,352	781	369	251
Jilin	4,668	3,893	2,871	1,629	888	527	365	296
Hebei	4,235	3,598	2,806	1,789	917	532	306	245
Hubei	4,122	3,320	2,424	1,410	760	440	322	273
Chongqing	4,077	3,355	2,501	1,514	758	471	247	212
Shaanxi	4,008	3,213	2,405	1,303	600	355	259	206
Heilongjiang	4,000	3,286	2,654	1,763	1,002	647	424	362
Ningxia	3,977	3,188	2,394	1,263	649	413	291	251
Shanxi	3,883	3,151	2,625	1,544	691	421	319	285
Xinjiang	3,698	2,919	2,417	1,600	891	563	358	279
Hunan	3,652	2,990	2,215	1,289	655	402	257	213
Henan	3,611	3,015	2,342	1,385	658	395	228	197
Qinghai	3,562	2,848	2,249	1,226	621	421	326	275
Hainan	3,520	2,819	2,160	1,363	821	606	327	248
Jiangxi	3,140	2,538	1,941	1,152	586	347	237	203
Sichuan	3,129	2,538	1,892	1,106	599	364	237	194
Anhui	3,086	2,402	1,764	1,054	577	368	247	220
Guangxi	2,987	2,349	1,789	1,049	562	396	223	160
Tibet	2,558	2,239	1,688	1,103	552	282	267	304
Gansu	2,380	1,942	1,516	913	499	277	230	207
Yunnan	2,327	1,982	1,534	953	576	369	256	165
Guizhou	1,938	1,606	1,203	658	333	219	169	143
