Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	58	1:30:28.718	4
Michael Schumacher	Ferrari	58	+20.046	3
Mika Häkkinen	McLaren - Mercedes	58	+22.177	6
Gerhard Berger	Benetton - Renault	58	+22.841	10
Olivier Panis	Prost - Mugen-Honda	58	+1:00.308	9
Nicola Larini	Sauber - Petronas	58	+1:36.040	13
Shinji Nakano	Prost - Mugen-Honda	56	+2 Laps	16
Heinz-Harald Frentzen	Williams - Renault	55	Brakes	2
Jarno Trulli	Minardi - Hart	55	+3 Laps	17
Pedro Diniz	Arrows - Yamaha	54	+4 Laps	22
Rubens Barrichello	Stewart - Ford	49	Engine	11
Mika Salo	Tyrrell - Ford	42	Engine	18
Jan Magnussen	Stewart - Ford	36	Suspension	19
Jean Alesi	Benetton - Renault	34	Out Of Fuel	8
Ukyo Katayama	Minardi - Hart	32	Electrical	15
Giancarlo Fisichella	Jordan - Peugeot	14	Spun off	14
Jos Verstappen	Tyrrell - Ford	2	Spun off	21
Ralf Schumacher	Jordan - Peugeot	1	Gearbox	12
Jacques Villeneuve	Williams - Renault	0	Collision	1
Eddie Irvine	Ferrari	0	Collision	5
Johnny Herbert	Sauber - Petronas	0	Collision	7
Damon Hill	Arrows - Yamaha	0	Throttle	20
