Week #	Theme	Song Choice	Original Artist	Order #	Result
Audition	Auditioner's Choice	"Quando Chove"	Patricia Marx	N/A	Advanced
Theater	First Solo	Você Chegou	LS Jack	N/A	Advanced
Top 30	Semi-Final/Group 2	"Uma Carta"	LS Jack	9	Advanced
Top 10	My Idol	"Pra Rua Me Levar"	Ana Carolina	6	Safe
Top 9	Female Singers	"Nada Por Mim"	Leila Pinheiro	8	Safe
Top 8	Love Songs	"Anjo"	Roupa Nova	4	Safe
Top 7	Country Pop	"Como Um Anjo"	César Menotti & Fabiano	7	Bottom 2
Top 6	Samba	"Tarde em Itapuã"	Vinicius de Moraes / Toquinho	5	Safe
Top 5	Birth Year Songs	"Olhar 43"	RPM	5	Safe
Top 5	Birth Year Songs	"Dona"	Roupa Nova	10	Safe
Top 4	Roberto Carlos & Elis Regina	"É Preciso Saber Viver"	Roberto Carlos	2	Safe
Top 4	Roberto Carlos & Elis Regina	"Romaria"	Elis Regina	6	Safe
Top 3	Jovem Pan Number 1 Hits	"O Sol"	Jota Quest	2	Safe
Top 3	Jovem Pan Number 1 Hits	"Tem Que Ser Você"	Victor & Leo	5	Safe
Top 3	Jovem Pan Number 1 Hits	"Por Mais Que Eu Tente"	Marjorie Estiano	8	Safe
Top 2	Winner's Single #1	"Ficou No Ar"	Rafael Barreto	2	Winner
Top 2	Contestant's Choice	" You'll Be in My Heart "	Phil Collins / Ed Motta	4	Winner
