Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	25 April 2005	Rabat , Morocco	Clay	Anett Kaasik	Meryem El Haddad Habiba Ifrakh	6–0, 6–2
Winner	6 September 2005	Madrid , Spain	Hard	Nika Ožegović	Kelly Liggan Seda Noorlander	6–3, 6–3
Winner	27 March 2006	Abu Dhabi , United Arab Emirates	Hard	Petra Cetkovská	Katerina Avdiyenko Kristina Grigorian	6–1, 6–3
Runner-up	28 June 2006	Padova , Italy	Clay	Larissa Carvalho	Darija Jurak Renata Voráčová	6–4, 6–3
Winner	11 July 2006	Torun , Poland	Clay	Ekaterina Dzehalevich	Edina Gallovits-Hall Lenka Tvarošková	7–6(5), 6–4
Winner	29 August 2006	Alphen aan den Rijn , Netherlands	Clay	Danica Krstajić	Leslie Butkiewicz Caroline Maes	6–2, 7–6(1)
Winner	2 April 2007	Putignano , Italy	Hard	Monica Niculescu	Jessica Kirkland Carmen Klaschka	6–2, 7–5
Winner	30 July 2007	Rimini , Italy	Clay	Maret Ani	Karolina Jovanović Mervana Jugić-Salkić	6–4, 6–0
Runner-up	22 September 2009	Saint-Malo , France	Clay	Aurélie Védy	Timea Bacsinszky Tathiana Garbin	6–3 ret.
Winner	2 December 2009	Přerov , Czech Republic	Hard (i)	Sandra Klemenschits	Darija Jurak Katalin Marosi	7–6(3), 3–6, [10–7]
Runner-up	3 May 2010	Rio de Janeiro , Brazil	Clay	María Fernanda Álvarez Terán	Bianca Botto Amanda Carreras	3–6, 6–4, [10–8]
Winner	1 June 2010	Maribor , Slovenia	Clay	Tadeja Majerič	Alexandra Panova Ksenia Pervak	6–3, 7–6(6)
Winner	14 June 2010	Padova , Italy	Clay	Sandra Klemenschits	Claudia Giovine Valentina Sulpizio	4–6, 6–4, [10–5]
Winner	21 June 2010	Getxo , Spain	Clay	Sandra Klemenschits	Lu Jingjing Laura Siegemund	6–0, 6–0
Runner-up	29 June 2010	Cuneo , Italy	Clay	Sorana Cîrstea	Eva Birnerová Lucie Hradecká	3–6, 6–4, [10–8]
Runner-up	7 September 2010	Biella , Italy	Clay	Aurélie Védy	Mariya Koryttseva Raluca Olaru	7–5, 6–4
Runner-up	14 September 2010	Mestre , Italy	Clay	Eva Birnerová	Claudia Giovine Karin Knapp	6–7(6), 7–5, [13–11]
Runner-up	4 October 2010	Jounieh , Lebanon	Clay	Eva Birnerová	Petra Cetkovská Renata Voráčová	7–5, 6–2
Runner-up	28 June 2011	Torun , Poland	Clay	Edina Gallovits-Hall	Stéphanie Foretz Gacon Tatjana Malek	6–2, 7–5
Winner	8 August 2011	Kazan , Russia	Hard	Ekaterina Lopes	Vitalia Diatchenko Alexandra Panova	walkover
Winner	4 June 2013	Marseille , France	Clay	Sandra Klemenschits	Asia Muhammed Allie Will	1–6, 6–4, [10–5]
