Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 7	Houston Oilers	Three Rivers Stadium	1:00pm	W 31–17	1–0
2	Sun. Sep. 14	at Baltimore Colts	Memorial Stadium	2:00pm	W 20–17	2–0
3	Sun. Sep. 21	at Cincinnati Bengals	Riverfront Stadium	1:00pm	L 30–28	2–1
4	Sun. Sep. 28	Chicago Bears	Three Rivers Stadium	1:00pm	W 38–3	3–1
5	Sun. Oct. 5	at Minnesota Vikings	Metropolitan Stadium	1:00pm	W 23–17	4–1
6	Sun. Oct. 12	Cincinnati Bengals	Three Rivers Stadium	1:00pm	L 17–16	4–2
7	Mon. Oct. 20	Oakland Raiders	Three Rivers Stadium	9:00pm	L 45–34	4–3
8	Sun. Oct. 26	at Cleveland Browns	Cleveland Municipal Stadium	1:00pm	L 27–26	4–4
9	Sun. Nov. 2	Green Bay Packers	Three Rivers Stadium	1:00pm	W 22–20	5–4
10	Sun. Nov. 9	at Tampa Bay Buccaneers	Tampa Stadium	1:00pm	W 24–21	6–4
11	Sun. Nov. 16	Cleveland Browns	Three Rivers Stadium	1:00pm	W 16–13	7–4
12	Sun. Nov. 23	at Buffalo Bills	Rich Stadium	1:00pm	L 28–13	7–5
13	Sun. Nov. 30	Miami Dolphins	Three Rivers Stadium	1:00pm	W 23–10	8–5
14	Thu. Dec. 4	at Houston Oilers	Astrodome	8:30pm	L 0–6	8–6
15	Sun. Dec. 14	Kansas City Chiefs	Three Rivers Stadium	1:00pm	W 21–16	9–6
16	Mon. Dec. 22	at San Diego Chargers	San Diego Stadium	9:00pm	L 26–17	9–7
