Year	Manufacturer	Start	Finish	Team
1986	Pontiac	DNQ	DNQ	Dick Bahre
1987	Chevrolet	18	22	Bahari
1988	Pontiac	DNQ	DNQ	Bahari
1988	Pontiac	24	22	Mueller
1989	Pontiac	23	21	Bahari
1990	Pontiac	24	8	Bahari
1991	Pontiac	13	38	Bahari
1992	Pontiac	10	18	Bahari
1993	Pontiac	28	16	Bahari
1994	Pontiac	14	31	Bahari
1995	Pontiac	15	6	Bahari
1996	Ford	11	10	Wood
1997	Ford	12	32	Wood
1998	Ford	6	9	Wood
1999	Chevrolet	13	5	Mattei
2000	Chevrolet	10	39	Ultra
2001	Chevrolet	19	1	DEI
2002	Chevrolet	4	5	DEI
2003	Chevrolet	4	1	DEI
2004	Chevrolet	9	38	DEI
2005	Chevrolet	3	37	DEI
2006	Dodge	30	18	Davis
2007	Toyota	15	30	M. Waltrip
2008	Toyota	2	29	M. Waltrip
2009	Toyota	27	7	M. Waltrip
2010	Toyota	43	18	M. Waltrip
2011	Toyota	8	40	M. Waltrip
2012	Toyota	DNQ	DNQ	Hillman
2013	Toyota	29	22	Swan
