Source	Date	Kaine (D)	Kilgore (R)	Potts (I)
Survey USA	November 7, 2005	50%	45%	4%
Mason-Dixon	November 4, 2005	45%	44%	4%
Rasmussen	November 4, 2005	49%	46%	2%
Roanoke College	November 2, 2005	44%	36%	5%
Washington Post	October 30, 2005	47%	44%	4%
Rasmussen	October 28, 2005	46%	44%	4%
Mason-Dixon	October 25, 2005	42%	44%	5%
Rasmussen	October 24, 2005	46%	48%	2%
Hotline	October 18, 2005	40%	38%	5%
Survey USA	October 17, 2005	47%	45%	4%
Rasmussen	October 12, 2005	44%	46%	1%
Rasmussen	September 28, 2005	45%	45%	5%
Survey USA	September 19, 2005	43%	46%	4%
Mason-Dixon	September 18, 2005	40%	41%	6%
Rasmussen	September 16, 2005	40%	43%	5%
Survey USA	August 9, 2005	43%	48%	3%
Rasmussen	August 4, 2005	39%	45%	5%
Mason-Dixon	July 24, 2005	38%	37%	9%
Rasmussen	July 14, 2005	41%	47%	4%
Survey USA	June 30, 2005	39%	49%	5%
Rasmussen	June 16, 2005	40%	46%	2%
Survey USA	May 17, 2005	40%	44%	5%
