Missouri vs.	Overall Record	at Columbia	at Opponents Venue	at Neutral Site	Last 5 Meetings	Last 10 Meetings	Current Streak	During Time in Big 12
Baylor	MU, 16-10	MU, 10-2	BU, 6-4	Tied, 2-2	MU, 4-1	MU, 7-3	W 4	MU, 13-6
Iowa State	MU, 149-84	MU, 84-21	ISU, 56-49	MU, 16-5	MU, 5-0	MU, 9-1	W 9	MU, 20-14
Kansas	KU, 173-95	KU, 65-57	KU, 89-31	KU, 19-7	KU, 4-1	KU, 8-2	L 1	KU, 25-10
Kansas State	KSU, 118-117	MU, 64-41	KSU, 60-44	KSU, 15-8	KSU, 4-1	KSU, 6-4	L 3	MU, 18-15
Oklahoma	OU, 112-97	MU, 62-31	OU, 65-21	OU, 16-14	MU, 4-1	MU, 7-3	W 3	OU, 13-11
Oklahoma State	MU, 77-41	MU, 45-7	OSU, 29-21	MU, 10-5	MU, 3-2	MU, 7-3	W 2	MU, 11-9
Texas	MU, 14-12	MU, 7-4	UT, 6-4	MU, 3-2	MU, 4-1	MU, 6-4	W 3	UT, 11-9
Texas A&M	MU, 14-11	MU, 6-3	TAMU, 7-4	MU, 4-1	MU, 3-2	TAMU, 7-3	W 1	Tied, 10-10
Texas Tech	MU, 15-8	MU, 8-2	TTU, 6-3	MU, 4-0	MU, 5-0	MU, 8-2	W 7	MU, 13-7
