Date	Winner	Score	Location	Series
October 24, 1981	Clemson	17-7	Clemson, SC	Clemson 31–18–1
October 23, 1982	Clemson	38-29	Raleigh, NC	Clemson 32–18–1
October 22, 1983	Clemson	27-17	Clemson, SC	Clemson 33–18–1
October 27, 1984	Clemson	35-34	Raleigh, NC	Clemson 34–18–1
October 26, 1985	Clemson	39-10	Clemson, SC	Clemson 35–18–1
October 25, 1986	NC State	27-3	Raleigh, NC	Clemson 35–19–1
October 24, 1987	NC State	30-28	Clemson, SC	Clemson 35–20–1
October 22, 1988	NC State	10-3	Raleigh, NC	Clemson 35–21–1
October 21, 1989	Clemson	30-10	Clemson, SC	Clemson 36–21–1
October 20, 1990	Clemson	24-17	Raleigh, NC	Clemson 37–21–1
October 26, 1991	Clemson	29-19	Clemson, SC	Clemson 38–21–1
October 24, 1992	NC State	20-6	Raleigh, NC	Clemson 38–22–1
October 2, 1993	Clemson	20-14	Clemson, SC	Clemson 39–22–1
September 10, 1994	NC State	29-12	Clemson, SC	Clemson 39–23–1
September 30, 1995	Clemson	43-22	Raleigh, NC	Clemson 40–23–1
November 16, 1996	Clemson	40-17	Clemson, SC	Clemson 41–23–1
September 13, 1997	Clemson	19-17	Raleigh, NC	Clemson 42–23–1
October 31, 1998	NC State	46-39	Clemson, SC	Clemson 42–24–1
October 9, 1999	NC State	35-31	Raleigh, NC	Clemson 42–25–1
October 7, 2000	Clemson	34-27	Clemson, SC	Clemson 43–25–1
October 13, 2001	Clemson	45-37	Raleigh, NC	Clemson 44–25–1
October 24, 2002	NC State	38-6	Clemson, SC	Clemson 44–26–1
October 16, 2003	NC State	17-15	Raleigh, NC	Clemson 44–27–1
October 30, 2004	Clemson	26-20	Clemson, SC	Clemson 45–27–1
October 13, 2005	Clemson	31-10	Raleigh, NC	Clemson 46–27–1
November 11, 2006	Clemson	20-14	Clemson, SC	Clemson 47–27–1
September 22, 2007	Clemson	42-20	Raleigh, NC	Clemson 48–27–1
September 13, 2008	Clemson	27-9	Clemson, SC	Clemson 49–27–1
November 14, 2009	Clemson	43-23	Raleigh, NC	Clemson 50–27–1
November 6, 2010	Clemson	14-13	Clemson, SC	Clemson 51–27–1
November 19, 2011	NC State	37-13	Raleigh, NC	Clemson 51–28–1
November 17, 2012	Clemson	62-48	Clemson, SC	Clemson 52–28–1
September 19, 2013	Clemson	26-14	Raleigh, NC	Clemson 53–28–1
