Round	Pick	Player	Position	School/Club Team
1	2	Leonard Davis	Tackle	Texas
2	34	Kyle Vanden Bosch	Defensive End	Nebraska
2	54	Michael Stone	Defensive Back	Memphis
3	64	Adrian Wilson (American football)	Defensive Back	North Carolina State
4	98	Bill Gramatica	Kicker	South Florida
4	123	Marcus Bell	Defensive Tackle	Memphis
5	133	Mario Fatafehi	Defensive Tackle	Kansas State
6	166	Bobby Newcombe	Wide Receiver	Nebraska
7	202	Renaldo Hill	Defensive Back	Michigan State
7	246	Tevita Ofahengaue	Tight End	Brigham Young University
