Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 28	2-3	27-25	23-25	25-18	11-25	08-15	94 - 108
May 28	3-0	25-21	25-23	25-21	NA	NA	75 - 65
May 30	3-0	25-23	25-19	31-29	NA	NA	81 - 71
May 30	0-3	20-25	18-25	23-25	NA	NA	61 - 75
May 5	3-1	25-21	25-18	22-25	25-21	NA	97 - 85
Jun 6	3-0	25-22	25-23	25-17	NA	NA	75 - 62
Jun 7	3-1	19-25	25-19	25-22	25-23	NA	94 - 89
Jun 7	3-0	25-19	25-21	25-18	NA	NA	75 - 58
Jun 12	3-1	20-25	25-23	25-21	25-21	NA	95 - 90
Jun 12	0-3	18-25	23-25	16-25	NA	NA	57 - 75
Jun 14	1-3	24-26	19-25	25-23	22-25	NA	90 - 99
Jun 14	0-3	23-25	23-25	25-27	NA	NA	71 - 77
Jun 19	1-3	19-25	25-18	25-27	20-25	NA	89 - 95
Jun 20	2-3	27-29	25-17	25-18	23-25	16-18	116 - 107
Jun 21	2-3	25-23	25-19	21-25	25-27	17-19	113 - 113
Jun 21	0-3	31-33	18-25	22-25	NA	NA	71 - 83
Jun 27	0-3	19-25	18-25	15-25	NA	NA	52 - 75
Jun 27	3-0	25-19	25-21	25-18	NA	NA	75 - 58
Jun 28	1-3	21-25	23-25	25-22	21-25	NA	90 - 97
Jun 28	3-1	22-25	25-22	25-21	25-18	NA	97 - 86
Jun 2	2-3	27-29	25-19	25-20	16-25	12-15	105 - 108
Jun 2	3-1	25-14	22-25	25-18	25-23	NA	97 - 80
Jun 4	3-1	25-20	25-18	26-28	25-21	NA	101 - 87
Jun 4	3-0	26-24	25-18	25-19	NA	NA	76 - 61
