Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Skewen RFC	22	21	0	1	680	183	96	13	12	1	97
Tondu RFC	22	19	1	2	618	243	83	24	13	1	92
Kenfig Hill RFC	22	16	0	6	654	321	92	33	11	2	77
Glynneath RFC	22	15	1	6	593	229	78	23	10	2	74
Seven Sisters RFC	22	12	0	10	444	377	54	41	4	3	55
Ystalyfera RFC	22	11	0	11	401	537	42	74	4	3	51
Bryncoch RFC	22	9	0	13	418	582	46	80	4	1	41
Nantyffyllon RFC	22	8	0	14	254	505	31	63	1	2	35
Cwmavon RFC	22	6	1	15	338	483	43	61	3	5	34
Brynamman RFC	22	5	1	16	349	642	37	93	3	6	31
Briton Ferry RFC	22	5	0	17	289	496	34	59	3	3	26
Maesteg Harlequins RFC	22	3	0	19	264	704	30	102	3	3	18
