Place	Player	Country	Score	To par	Money ( $ )
T1	Nick Faldo	England	68-73-77-65=283	–5	Playoff
T1	Scott Hoch	United States	69-74-71-69=283	–5	Playoff
T3	Ben Crenshaw	United States	71-72-70-71=284	–4	64,450
T3	Greg Norman	Australia	74-75-68-67=284	–4	64,450
5	Seve Ballesteros	Spain	71-72-73-69=285	–3	44,400
6	Mike Reid	United States	72-71-71-72=286	–2	40,000
7	Jodie Mudd	United States	73-76-72-66=287	–1	37,200
T8	Chip Beck	United States	74-76-70-68=288	E	32,200
T8	José María Olazábal	Spain	77-73-70-68=288	E	32,200
T8	Jeff Sluman	United States	74-72-74-68=288	E	32,200
