Name	Council Seat	Formed	Population (2010)	Area	Website
Armadale, City of	Armadale	1894	60,983	km2 (sqmi)	Link
Bassendean, Town of	Bassendean	1901	14,790	km2 (sqmi)	Link
Bayswater, City of	Morley	1897	61,865	km2 (sqmi)	Link
Belmont, City of	Cloverdale	1898	35,082	km2 (sqmi)	Link
Cambridge, Town of	Floreat	1994	26,959	km2 (sqmi)	Link
Canning, City of	Cannington	1907	88,433	km2 (sqmi)	Link
Claremont, Town of	Claremont	1898	9,891	km2 (sqmi)	Link
Cockburn, City of	Spearwood	1871	91,313	km2 (sqmi)	Link
Cottesloe, Town of	Cottesloe	1895	8,222	km2 (sqmi)	Link
East Fremantle, Town of	East Fremantle	1897	7,534	km2 (sqmi)	Link
Fremantle, City of	Fremantle	1871	28,626	km2 (sqmi)	Link
Gosnells, City of	Gosnells	1907	106,724	km2 (sqmi)	Link
Joondalup, City of	Joondalup	1998	164,445	km2 (sqmi)	Link
Kalamunda, Shire of	Kalamunda	1897	55,814	km2 (sqmi)	Link
Kwinana, City of	Kwinana Town Centre	1954	29,029	km2 (sqmi)	Link
Melville, City of	Ardross	1900	102,434	km2 (sqmi)	Link
Mosman Park, Town of	Mosman Park	1899	9,440	km2 (sqmi)	Link
Mundaring, Shire of	Mundaring	1903	38,910	km2 (sqmi)	Link
Nedlands, City of	Nedlands	1893	22,508	km2 (sqmi)	Link
Peppermint Grove, Shire of	Peppermint Grove	1895	1,749	km2 (sqmi)	Link
Perth, City of	Perth	1856	17,955	km2 (sqmi)	Link
Rockingham, City of	Rockingham	1897	104,130	km2 (sqmi)	Link
South Perth, City of	South Perth	1892	43,908	km2 (sqmi)	Link
Stirling, City of	Stirling	1871	202,014	km2 (sqmi)	Link
Subiaco, City of	Subiaco	1896	18,862	km2 (sqmi)	Link
Swan, City of	Midland	1871	112,960	km2 (sqmi)	Link
Victoria Park, Town of	Victoria Park	1994	32,958	km2 (sqmi)	Link
Vincent, City of	Leederville	1994	31,209	km2 (sqmi)	Link
Wanneroo, City of	Wanneroo	1902	150,106	km2 (sqmi)	Link
