Name	League	Play-offs	FA Cup	League Cup	Total
Dave Bamber Category:Articles with hCards	28	1	1	6	36
Paul Groves Category:Articles with hCards	10	1	1	1	13
Tony Rodwell Category:Articles with hCards	11	0	0	0	11
David Eyres Category:Articles with hCards	10	0	0	0	10
Andy Garner Category:Articles with hCards	4	1	0	0	5
Phil Horner Category:Articles with hCards	4	0	0	0	4
Trevor Sinclair Category:Articles with hCards	3	0	0	0	3
Andy Gouck Category:Articles with hCards	2	0	0	0	2
Mark Taylor Category:Articles with hCards	2	0	0	0	2
Mike Davies Category:Articles with hCards	1	0	0	0	1
Dylan Kerr Category:Articles with hCards	1	0	0	0	1
