Date	Course	Distance	Type	Winner
26 May	Olbia to Olbia	km (mi)	Hilly stage	Philippe Casado ( FRA )
27 May	Olbia to Sassari	km (mi)	Hilly stage	Gianni Bugno ( ITA )
27 May	Sassari	km (mi)	Individual time trial	Gianluca Pierobon ( ITA )
28 May	Sassari to Cagliari	km (mi)	Plain stage	Mario Cipollini ( ITA )
29 May	Rest day	Rest day	Rest day	Rest day
30 May	Sorrento to Sorrento	km (mi)	Hilly stage	Éric Boyer ( FRA )
31 May	Sorrento to Scanno	km (mi)	Hilly stage	Marino Lejarreta ( ESP )
1 June	Scanno to Rieti	km (mi)	Stage with mountain(s)	Vladimir Poulnikov ( URS )
2 June	Rieti to Città di Castello	km (mi)	Plain stage	Mario Cipollini ( ITA )
3 June	Città di Castello to Prato	km (mi)	Plain stage	Davide Cassani ( ITA )
4 June	Prato to Felino	km (mi)	Hilly stage	Massimo Ghirotto ( ITA )
5 June	Collecchio to Langhirano	km (mi)	Individual time trial	Gianni Bugno ( ITA )
6 June	Sala Baganza to Savona	km (mi)	Plain stage	Maximilian Sciandri ( ITA )
7 June	Savona to Pian del Re	km (mi)	Stage with mountain(s)	Massimiliano Lelli ( ITA )
8 June	Savigliano to Sestriere	km (mi)	Stage with mountain(s)	Eduardo Chozas ( ESP )
9 June	Turin to Morbegno	km (mi)	Plain stage	Franco Ballerini ( ITA )
10 June	Morbegno to Aprica	km (mi)	Stage with mountain(s)	Franco Chioccioli ( ITA )
11 June	Tirano to Selva di Val Gardena	km (mi)	Stage with mountain(s)	Massimiliano Lelli ( ITA )
12 June	Selva di Val Gardena to Passo Pordoi	km (mi)	Stage with mountain(s)	Franco Chioccioli ( ITA )
13 June	Pozza di Fassa to Castelfranco Veneto	km (mi)	Plain stage	Silvio Martinello ( ITA )
14 June	Castelfranco Veneto to Brescia	km (mi)	Hilly stage	Gianni Bugno ( ITA )
15 June	Broni to Casteggio	km (mi)	Individual time trial	Franco Chioccioli ( ITA )
16 June	Pavia to Milan	km (mi)	Plain stage	Mario Cipollini ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
