Kilometer No. (Rizal Park-basis)	Kilometer No. (Layac-basis)	Exit	Barangay	Municipality
100	1	Layac Junction/Layac Toll Barrier	Layac	Dinalupihan
100	1	SCTEx Exit	Palihan	Hermosa
101	2	Culis Crossing Exit/Palihan Exit	Culis-Palihan	Hermosa
106	7	Pag-asa Exit/Doña Exit	Doña-Pag-asa-Mulawin	Orani
108 Northbound	9 Northbound	Imelda Exit	Imelda	Samal
109	10	Gugo Exit	Gugo	Samal
112	13	Mabatang Toll Barrier	Mabatang	Abucay
113 Northbound	14 Northbound	Mabatang Exit	Mabatang-Calaylayan	Abucay
116	17	Gabon Exit	Laon-Gabon	Abucay
119	20	Tuyo Exit/Fourlane Exit	Tuyo	Balanga City
120	21	Tenejero Exit	Tenejero	Balanga City
124	25	Ala-uli Exit	Ala-uli	Pilar
127	28	Santo Domingo Exit/Capot Exit	General Lim (Capot)	Orion
129	30	Bilolo Exit/Sabatan Exit	Bilolo-Sabatan	Orion
131 Northbound	32 Northbound	Daan Pare Exit	Daan Pare	Orion
133 Southbound	34 Southbound	Putting Buhangin Exit	Putting Buhangin	Orion
135	36	Reformista Exit	Reformista	Limay
136	37	Townsite Exit/Kitang Exit	Townsite	Limay
138 Northbound	39 Northbound	Alangan Exit	Alangan-Bo. Roxas	Limay
141 Southbound	42 Southbound	Arsenal Vicinal Exit	Lamao	Limay
142 Northbound	43 Northbound	Lamao Exit	Lamao	Limay
144	45	Alion Exit	Batangas II	Mariveles
149	50	Old Cabcaben/Cabcaben East/Townsite Exit	Townsite-Cabcaben	Mariveles
152	53	Cabcaben West/New Cabcaben/Mountain View Exit	Mountain View	Mariveles
156	57	MAAP Road/Tarak Ridge/Alas-asin Exit	Alas-asin	Mariveles
158	59	FAB Gate Exit/Old Zigzag Road	Alas-asin	Mariveles
159	60	Sisiman Toll Barrier	Sisiman	Mariveles
160	61	Sisiman Exit	Sisiman	Mariveles
162	63	FAB Exit/Mindanao Avenue Exit	FAB area	Mariveles
164	65	Poblacion Exit	Poblacion	Mariveles
