Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 7	MONY Tournament of Champions	California	Paul Azinger (6)	272 (–16)	135,000
Jan 14	Northern Telecom Tucson Open	Arizona	Robert Gamez (1)	270 (–18)	162,000
Jan 21	Bob Hope Chrysler Classic	California	Peter Jacobsen (4)	339 (–21)	180,000
Jan 28	Phoenix Open	Arizona	Tommy Armour III (1)	267 (–17)	162,000
Feb 4	AT&T Pebble Beach National Pro-Am	California	Mark O'Meara (5)	281 (–7)	180,000
Feb 11	Hawaiian Open	Hawaii	David Ishii (1)	279 (–9)	180,000
Feb 18	Shearson Lehman Hutton Open	California	Dan Forsman (3)	275 (–13)	162,000
Feb 25	Nissan Los Angeles Open	California	Fred Couples (4)	266 (–18)	180,000
Mar 4	Doral-Ryder Open	Florida	Greg Norman (9)	273 (–15)	252,000
Mar 11	Honda Classic	Florida	John Huston (1)	282 (–6)	180,000
Mar 18	The Players Championship	Florida	Jodie Mudd (3)	278 (–10)	270,000
Mar 25	Nestle Invitational	Florida	Robert Gamez (2)	274 (–14)	162,000
Apr 1	Independent Insurance Agent Open	Texas	Tony Sills (1)	204 (–12)	180,000
Apr 8	Masters Tournament	Georgia	Nick Faldo (4)	278 (–10)	225,000
Apr 15	MCI Heritage Golf Classic	South Carolina	Payne Stewart (6)	276 (–8)	180,000
Apr 22	KMart Greater Greensboro Open	North Carolina	Steve Elkington (1)	282 (–6)	225,000
Apr 29	USF&G Classic	Louisiana	David Frost (4)	276 (–12)	180,000
May 6	GTE Byron Nelson Golf Classic	Texas	Payne Stewart (7)	202 (–8)	180,000
May 13	Memorial Tournament	Ohio	Greg Norman (10)	216 (E)	180,000
May 20	Southwestern Bell Colonial	Texas	Ben Crenshaw (15)	272 (–8)	180,000
May 27	BellSouth Atlanta Golf Classic	Georgia	Wayne Levi (9)	275 (–13)	180,000
Jun 3	Kemper Open	Maryland	Gil Morgan (7)	274 (–10)	180,000
Jun 10	Centel Western Open	Illinois	Wayne Levi (10)	275 (–13)	180,000
Jun 18	U.S. Open	Illinois	Hale Irwin (18)	280 (–8)	220,000
Jun 24	Buick Classic	New York	Hale Irwin (19)	269 (–15)	180,000
Jul 1	Canon Greater Hartford Open	Connecticut	Wayne Levi (11)	267 (–13)	180,000
Jul 8	Anheuser-Busch Golf Classic	Virginia	Lanny Wadkins (19)	266 (–18)	180,000
Jul 15	Bank of Boston Classic	Massachusetts	Morris Hatalsky (4)	275 (–9)	162,000
Jul 22	British Open	Scotland	Nick Faldo (5)	270 (–18)	153,850
Jul 29	Buick Open	Michigan	Chip Beck (3)	272 (–16)	180,000
Aug 5	Federal Express St. Jude Classic	Tennessee	Tom Kite (14)	269 (–15)	180,000
Aug 12	PGA Championship	Alabama	Wayne Grady (2)	282 (–6)	225,000
Aug 19	The International	Colorado	Davis Love III (2)	37 ( Stableford )	180,000
Aug 26	NEC World Series of Golf	Ohio	José María Olazábal (1)	262 (–18)	198,000
Aug 26	Chattanooga Classic	Tennessee	Peter Persons (1)	260 (–20)	108,000
Sep 1	Greater Milwaukee Open	Wisconsin	Jim Gallagher, Jr. (1)	271 (–17)	162,000
Sep 9	Hardee's Golf Classic	Illinois	Joey Sindelar (6)	268 (–12)	180,000
Sep 16	Canadian Open	Canada	Wayne Levi (12)	278 (–10)	180,000
Sep 23	B.C. Open	New York	Nolan Henke (1)	268 (–16)	126,000
Sep 30	Buick Southern Open	Georgia	Kenny Knox (3)	265 (–15)	108,000
Oct 7	H.E.B. Texas Open	Texas	Mark O'Meara (6)	261 (–19)	144,000
Oct 14	Las Vegas Invitational	Nevada	Bob Tway (6)	334 (–26)	234,000
Oct 20	Walt Disney World/Oldsmobile Classic	Florida	Tim Simpson (4)	264 (–24)	180,000
Oct 28	Nabisco Championship	Texas	Jodie Mudd (4)	273 (–11)	450,000
