City/town	Municipality	County	City/town status	Population
Arendal	Arendal	Aust-Agder	1723	39826
Bergen	Bergen	Hordaland	1070	263762
Bodø	Bodø	Nordland	1816	46049
Drammen	Drammen	Buskerud	1811	64597
Egersund	Eigersund	Rogaland	1798	13418
Farsund	Farsund	Vest-Agder	1795	9392
Flekkefjord	Flekkefjord	Vest-Agder	1842	8918
Florø	Flora	Sogn og Fjordane	1860	8296
Fredrikstad	Fredrikstad	Østfold	1567	75583
Gjøvik	Gjøvik	Oppland	1861	27500
Grimstad	Grimstad	Aust-Agder	1816	19809
Halden	Halden	Østfold	1665	28063
Hamar	Hamar	Hedmark	1248	31593
Hammerfest	Hammerfest	Finnmark	1789	9261
Harstad	Harstad	Troms	1904	23242
Haugesund	Haugesund	Rogaland	1854	31738
Holmestrand	Holmestrand	Vestfold	1752	9515
Horten	Horten	Vestfold	1858	24671
Hønefoss	Ringerike	Buskerud	1852	13930
Kongsberg	Kongsberg	Buskerud	1624	23997
Kongsvinger	Kongsvinger	Hedmark	1854	17380
Kristiansand	Kristiansand	Vest-Agder	1641	90562
Kristiansund	Kristiansund	Møre og Romsdal	1742	22661
Larvik	Larvik	Vestfold	1671	41221
Lillehammer	Lillehammer	Oppland	1842	25070
Mandal	Mandal	Vest-Agder	1921	13840
Molde	Molde	Møre og Romsdal	1742	24421
Moss	Moss	Østfold	1720	28800
Namsos	Namsos	Nord-Trøndelag	1845	12426
Narvik	Narvik	Nordland	1902	18512
Notodden	Notodden	Telemark	1913	12359
Oslo	Oslo	Oslo	1000	613285
Porsgrunn	Porsgrunn	Telemark	1842	33550
Risør	Risør	Aust-Agder	1630	6938
Sandefjord	Sandefjord	Vestfold	1845	42333
Sandnes	Sandnes	Rogaland	1860	63032
Sarpsborg	Sarpsborg	Østfold	1016	50115
Skien	Skien	Telemark	1000	72537
Stavanger	Stavanger	Rogaland	1125	127506
Steinkjer	Steinkjer	Nord-Trøndelag	1857	20672
Søgne	Søgne	Vest-Agder	1913	12509
Tromsø	Tromsø	Troms	1794	64782
Trondheim	Trondheim	Sør-Trøndelag	997	176348
Tønsberg	Tønsberg	Vestfold	871	38914
Vadsø	Vadsø	Finnmark	1833	6187
Vardø	Vardø	Finnmark	1789	2396
Vennesla	Vennesla	Vest-Agder	1964	13116
