Name	Current version	System	Platform	License
1964	1.2 r146	Nintendo 64	Windows , Xbox	GPL v2
1964js	0.1.21 r296	Nintendo 64	JavaScript	GPL v2
CEN64	git-7e3258ce50	Nintendo 64	Windows , OS X , GNU/Linux	BSD 3-clause
Corn	0.3	Nintendo 64	Windows	Proprietary
DaedalusX64	r1878	Nintendo 64	Windows , PSP	GPL v2
Mupen64	0.5.1	Nintendo 64	Windows , OS X , GNU/Linux , FreeBSD , QNX BeOS	GPL v2
Mupen64Plus	2.0	Nintendo 64	Windows , OS X , GNU/Linux , FreeBSD	GPL v2
Mupen64Plus, Android Edition (AE)	2.3.5	Nintendo 64	Android	GPL v3
N64js	git-b58d391335	Nintendo 64	JavaScript	Expat
Project64	2.1.0.1	Nintendo 64	Windows , Xbox	GPL v2
sixtyforce	0.9.7	Nintendo 64	OS X	Proprietary
UltraHLE	1.0.0	Nintendo 64	Windows , Xbox	Proprietary
