Rider	Manufacturer	Laps	Time/Retired	Grid
Dani Pedrosa	Honda	24	40:46.694	7
Andrea Dovizioso	Honda	24	+0.356	3
Steve Jenkner	Aprilia	24	+0.548	6
Youichi Ui	Aprilia	24	+0.754	1
Pablo Nieto	Aprilia	24	+0.839	2
Alex de Angelis	Aprilia	24	+1.965	4
Mika Kallio	Honda	24	+13.997	8
Lucio Cecchinello	Aprilia	24	+14.790	11
Masao Azuma	Honda	24	+16.790	12
Casey Stoner	Aprilia	24	+20.649	19
Gino Borsoi	Aprilia	24	+21.809	15
Arnaud Vincent	KTM	24	+22.015	14
Héctor Barberá	Aprilia	24	+23.814	13
Simone Corsi	Honda	24	+23.871	16
Mirko Giansanti	Aprilia	24	+24.786	9
Gioele Pellino	Aprilia	24	+39.565	24
Thomas Lüthi	Honda	24	+42.280	22
Fabrizio Lai	Malaguti	24	+42.379	25
Gábor Talmácsi	Aprilia	24	+51.145	10
Marco Simoncelli	Aprilia	24	+51.186	18
Stefano Bianco	Gilera	24	+53.316	17
Mike Di Meglio	Aprilia	24	+55.253	30
Emilio Alzamora	Derbi	24	+56.952	21
Jorge Lorenzo	Derbi	24	+57.035	20
Álvaro Bautista	Aprilia	24	+58.109	26
Chris Martin	Aprilia	24	+58.622	28
Julián Simón	Malaguti	24	+1:05.036	27
Roberto Locatelli	KTM	24	+1:11.674	29
Peter Lenart	Honda	24	+1:35.808	33
Max Sabbatani	Aprilia	10	Retirement	23
Leon Camier	Honda	7	Retirement	32
Imre Tóth	Honda	2	Retirement	31
Stefano Perugini	Aprilia	1	Retirement	5
OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT
