Name	District (Region)	Took Office	Left Office	Party
Georges-Émile Lapalme	Montréal-Outremont ( Montreal West )	1960	1964	Liberal
Paul Gérin-Lajoie	Vaudreuil-Soulanges ( Montérégie )	1964	1966	Liberal
Jean-Jacques Bertrand	Missisquoi ( Eastern Townships )	1966	1968	Union Nationale
none	n.a.	26 September 1968	11 December 1968	Union Nationale
Jean-Guy Cardinal	Bagot ( Montérégie )	1968	1970	Union Nationale
Gérard D. Levesque	Bonaventure ( Gaspésie—Îles-de-la-Madeleine )	1972	1976	Liberal
Jacques-Yvan Morin	Sauvé ( Montreal East )	1976	1984	Parti Québécois
Camille Laurin	Bourget ( Montreal East )	1984	1984	Parti Québécois
Marc-André Bédard	Chicoutimi ( Saguenay–Lac-Saint-Jean )	1984	1985	Parti Québécois
Lise Bacon	Chomedey ( Laval )	1985	1994	Liberal
Monique Gagnon-Tremblay	Saint-François ( Eastern Townships )	1994	1994	Liberal
Bernard Landry	Verchères ( Montérégie )	1994	2001	Parti Québécois
Pauline Marois	Taillon ( Montérégie )	2001	2003	Parti Québécois
Monique Gagnon-Tremblay	Saint-François ( Eastern Townships )	2003	2005	Liberal
Jacques Dupuis	Saint-Laurent ( Montreal West )	2005	2007	Liberal
Nathalie Normandeau	Bonaventure ( Gaspésie—Îles-de-la-Madeleine )	2007	2011	Liberal
Line Beauchamp	Bourassa-Sauvé ( Montreal North )	2011	2012	Liberal
Michelle Courchesne	Fabre ( Laval )	2012	2012	Liberal
François Gendron	Abitibi-Ouest ( Abitibi-Témiscamingue )	2012	present	Parti Québécois
