Date	Venue	Score	Result	Competition
3 June 2000	Easycredit-Stadion , Nuremberg	1–0	3–2	Friendly
7 June 2000	Dreisamstadion , Freiburg	6–2	8–2	Friendly
7 June 2000	Dreisamstadion , Freiburg	8–2	8–2	Friendly
2 June 2001	Helsinki Olympic Stadium , Helsinki	2–2	2–2	2002 World Cup qualifier
15 August 2001	Ferenc Puskás Stadium , Budapest	3–0	5–2	Friendly
1 September 2001	Olympiastadion , Munich	1–0	1–5	2002 World Cup qualifier
9 May 2002	Dreisamstadion, Freiburg	7–0	7–0	Friendly
1 June 2002	Sapporo Dome , Sapporo	4–0	8–0	2002 World Cup
21 August 2002	Vasil Levski National Stadium , Sofia	2–2	2–2	Friendly
11 October 2002	Asim Ferhatović Hase Stadium , Sarajevo	1–1	1–1	Friendly
