Nat.	Name	Since	Goals	Ends	Transfer fee
GER	Michael Rensing	2003	0	2010	Youth system
GER	Hans-Jörg Butt	2008	0	2010	Free
GER	Thomas Kraft	2006	0	2011	Youth system
BRA	Lúcio ( VC )	2004	7	2010	€ 12m
BEL	Daniel Van Buyten	2006	7	2010	€ 8m
ARG	Martín Demichelis ( VC )	2003	11	2012	€ 5m
GER	Philipp Lahm	2005	4	2012	Loan return
ITA	Massimo Oddo	2008	0	2009	Loaned
GER	Christian Lell	2003	1	2011	Youth system
BRA	Breno	2008	0	2012	€ 12m
FRA	Franck Ribéry	2007	20	2011	€ 25m
TUR	Hamit Altıntop	2007	5	2010	Free
BRA	Zé Roberto	2007	14	2009	€ 9.5m
GER	Andreas Ottl	2005	5	2011	Youth system
NED	Mark van Bommel ( captain )	2006	10	2009	€ 6m
ARG	José Ernesto Sosa	2007	2	2011	€ 6m
GER	Tim Borowski	2008	5	2011	Free
GER	Bastian Schweinsteiger	2002	20	2012	Youth system
ITA	Luca Toni	2007	38	2011	€ 11m
GER	Lukas Podolski	2006	15	2010	€ 10m
GER	Miroslav Klose	2007	20	2011	€ 14m
GER	Thomas Müller	2008	0	2011	Youth system
