Team	Chassis	Engine	Tires	Drivers
Sugaripe Prune	McLaren	Cosworth	G	Tom Sneva
Chaparral Cars Inc.	Chaparral	Cosworth	G	Johnny Rutherford
Team Penske	Penske Phoenix	Cosworth	G	Rick Mears
Team Penske	Penske Phoenix	Cosworth	G	Bobby Unser
Team Penske	Penske Phoenix	Cosworth	G	Mario Andretti
Team Penske	Penske Phoenix	Cosworth	G	Gordon Johncock
Team Penske	Penske Phoenix	Cosworth	G	Tom Gloy
Patrick Racing	Penske Wildcat Phoenix	Cosworth	G	Gordon Johncock
Patrick Racing	Penske Wildcat Phoenix	Cosworth	G	Tom Bagley
Patrick Racing	Penske Wildcat Phoenix	Cosworth	G	Gordon Smiley
Fletcher Racing	Penske Phoenix	Cosworth	G	Spike Gehlhausen
Fletcher Racing	Penske Phoenix	Cosworth	G	Gordon Smiley
All American Racers	Eagle	Cosworth	G	Mike Mosley
Longhorn Racing	Longhorn	Cosworth	G	Al Unser
Alsup Racing	Penske McLaren	Cosworth	G	Bill Alsup
Alsup Racing	Penske McLaren	Cosworth	G	Phil Caliva
Galles Racing	Penske McLaren	Cosworth Chevrolet	G	Dick Ferguson
King Racing	McLaren King	Cosworth Chevrolet	G	Roger Mears
King Racing	McLaren King	Cosworth Chevrolet	G	Billie Harvey Jerry Miller
1st National Bank of Peru	Anteres	Offy	G	Jan Sneva
Hoffman Racing	Penske Lightning Spyder	Cosworth Offy	G	Joe Saldana
Hoffman Racing	Penske Lightning Spyder	Cosworth Offy	G	Bob Frey
Stanton Barrett	Penske	Cosworth	G	Ron Shuman
Mergard Racing	Eagle	Offy	G	John Wood
Leader Card	Watson	Offy Cosworth	G	Billy Vukovich II
Leader Card	Watson	Offy Cosworth	G	Sheldon Kinser
Menard Racing	Lightning	Offy	G	Herm Johnson
Wood Power	Eagle	Chevrolet	G	Bill Tempero
Alex Foods	Penske	Cosworth	G	Pancho Carter
Del Ray Marine Agajanian-Faas	King	Chevrolet	G	Bob Harkey Tony Bettenhausen Jr
The Enterprise	Wildcat	Offy	G	Ross Davis
Pacific Coast Racing	Penske Lightning	Cosworth Offy	G	Rick Muther
Pacific Coast Racing	Penske Lightning	Cosworth Offy	G	Al Loquasto Jeff Heywood
Gilmore Racing	Parnelli	Cosworth	G	A.J. Foyt
Gilmore Racing	Parnelli	Cosworth	G	George Snider
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Jerry Sneva
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Tom Bigelow Howdy Holmes Danny Ongais
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Greg Leffler
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Gary Bettenhausen
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Bruce Hill
Armstrong Mould O'Hanlon Racing	Wildcat Lola Orbiter McLaren March	DGS Cosworth Chevrolet	G	Cliff Hucul Lee Kunzman
Interscope Racing	Parnelli	Cosworth	G	Danny Ongais
Richmond Racing Mach I Racing	Penske	Cosworth	G	Tim Richmond
Beaudoin Racing	McLaren	Cosworth	G	Billy Engelhart
Sun Systems	Penske	Cosworth	G	Bill Whittington
Sun Systems	Penske	Cosworth	G	Don Whittington
Scientific Drilling	Penske	Cosworth	G	Dennis Firestone
Guarantee	Lightning	Chevrolet	G	Hurley Haywood
Tonco Trailer	McLaren Gerhardt Karl	Chevrolet	G	Jerry Karl
Simon Racing	Vollstedt	Offy	G	Dick Simon
Advance Clean Sweep	Wildcat	Chevrolet	G	Roger Rager
McElreath Racing	Penske	Cosworth	G	Jim McElreath
Hopkins Racing	Lightning	Offy Cosworth	G	Johnny Parsons
Kraco Racing	Wildcat	DGS Offy	G	Larry Cannon
Vetrock Racing	Eagle	Offy	G	Dean Vetrock
Machinists Union	IAM	Chevrolet	G	Phil Threshie Larry Dickson
Cargo Master	Manta	Offy	G	Dick Ferguson
Parts Washer Service	Eagle Penske	Offy	G	Chip Mead
Parts Washer Service	Eagle Penske	Offy	G	John Mahler
Texaco Star	Lightning	Offy	G	Janet Guthrie
Vita Fresh Orange Juice Medlin Racing	Eagle	Offy	G	Tony Bettenhausen Jr
Wysard Motor Co.	Wildcat McLaren	DGS Cosworth	G	Vern Schuppan Pete Halsmer
J J Enterprises	Wildcat	Cosworth DGS	G	John Martin
BFM Enterprises	Manta	Offy	G	Milt Harper
National Engineering	McLaren	Cosworth	G	Michael Chandler
Walmotor	Penske	Cosworth	G	Salt Walther
Pronosticos Deportivos	Penske	Cosworth	G	Daniel Muñiz
-Private Entry-	Penske	Cosworth	G	Juan Carlos Bolaños
Shade Tree Racing	Eagle	Offy	G	Michel Jourdain
Psachie	Penske	Cosworth	G	Josele Garza
Rhoades Racing	Eagle	RAM	G	Larry Rice
