Year	Division	Place	Played	Drawn	Lost	G.F.	G.A.	G.D.	Points
1934/35	Second League	11th	26	3	14	61	57	+4	21
1935/36	Second League	6th	34	5	12	68	57	+11	39
1936/37	Second League	8th	32	7	13	44	53	−9	31
1937/38	Second League	14th	30	N/A	N/A	N/A	N/A	N/A	23
1970/71	Division 2 – B	15th	30	6	16	29	46	−17	22
1971/72	Division 2 – A	6th	30	9	9	32	36	−4	33
1972/73	Division 2 – A	17th	34	7	19	37	65	−28	23
1975/76	Division 2 – A	6th	34	8	10	54	48	+6	43
1976/77	Division 2 – B	15th	34	8	15	43	51	−8	30
1977/78	Division 2 – B	18th	34	8	20	29	66	−37	20
1980/81	Division 2 – B	18th	34	10	18	25	58	−33	22
1984/85	Division 2 – A	11th	34	11	12	33	40	−7	33
1985/86	Division 2 – B	6th	34	9	11	33	31	+2	37
1986/87	Division 2 – A	2nd	34	6	7	62	30	+32	48
1987/88	Division 2 – B	2nd	34	9	5	54	22	+32	49
1988/89	First League	16th	38	10	18	39	60	−21	40
1989/90	First League	16th	38	10	16	34	48	−14	34
1990/91	First League	8th	38	12	13	38	36	+2	38
1991/92	First League	5th	38	10	11	46	45	+1	44
1992/93	First League	11th	38	9	16	55	54	+1	35
1993/94	First League	16th	38	7	19	29	54	−25	31
1994/95	First League	19th	38	6	22	38	58	−20	36
1995/96	Second League	1st	42	9	9	59	34	+25	81
1996/97	First League	17th	38	16	15	35	46	−11	37
1997/98	Second League	9th	42	11	16	61	55	+6	56
1998/99	Second League	5th	38	11	11	47	39	+8	59
1999/00	Second League	6th	38	17	9	50	37	+13	53
2000/01	Second League	17th	38	10	17	38	53	−15	43
2001/02	Second League	6th	38	10	12	59	55	+4	58
2002/03	Second League	7th	38	16	10	45	40	+5	52
2003/04	Second League	2nd	38	11	7	56	31	+25	71
2004/05	First League	18th	38	12	16	36	60	−24	42
2005/06	Second League	4th	38	12	8	56	35	+21	66
2006/07	Second League	2nd	38	14	5	65	40	25	71
2007/08	First League	11th	38	12	13	48	53	−5	51
2008/09	First League	18th	38	13	17	42	49	−7	37
2009/10	Second League	1st	38	15	5	52	30	22	69
