Date	Visitor	Score	Home	Record
December 1	Toronto	3 - 7	New Jersey	5-16-7
December 3	Hartford	4 - 5	New Jersey	6-16-7
December 4	New Jersey	2 - 6	Detroit	6-17-7
December 6	Winnipeg	5 - 3	New Jersey	6-18-7
December 9	Washington	6 - 4	New Jersey	6-19-7
December 11	New Jersey	1 - 7	NY Islanders	6-20-7
December 12	New Jersey	0 - 4	NY Rangers	6-21-7
December 17	New Jersey	4 - 10	Edmonton	6-22-7
December 19	New Jersey	3 - 2	Winnipeg	7-22-7
December 22	Philadelphia	3 - 1	New Jersey	7-23-7
December 26	New Jersey	2 - 5	Boston	7-24-7
December 30	NY Rangers	5 - 2	New Jersey	7-25-7
