Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	19–10	Yelka Torres Gallegos	Submission (armbar)	300 Sparta MMA 4	1	1:45	Santiago de Surco , Lima , Peru
Loss	18–10	Kalindra Faria	Submission (armbar)	MMA Super Heroes 1	1	2:05	Louveira , São Paulo , Brazil
Win	18–9	Jessica Suelen	TKO (punches)	MMA Fight Show 2: Teresópolis	1	0:49	Teresópolis , Rio de Janeiro , Brazil
Loss	17–9	Jessica Eye	Decision (unanimous)	NAAFS: Fight Night in the Flats 9	3	5:00	Cleveland, Ohio , United States
Loss	17–8	Tonya Evinger	Decision (split)	Fight Hard MMA	3	5:00	St. Charles, Missouri , United States
Loss	17–7	Munah Holland	KO (punch)	Matrix Fights 6	2	2:20	Philadelphia, Pennsylvania , United States
Win	17–6	Sheila Santos	Submission (armbar)	Iron Man Championship 10	1	N/A	Salinópolis , Pará , Brazil
Win	16–6	Antonia Deize	Submission (keylock)	Amazon Fight 8	1	2:41	Belém , Pará , Brazil
Loss	15–6	Tara LaRosa	Submission (heel hook)	Shark Fights 14: Horwich vs. Villefort	2	0:28	Lubbock, Texas , United States
Loss	15–5	Cat Zingano	TKO (punches and elbows)	Crowbar MMA: Winter Brawl	2	3:37	Grand Forks, North Dakota , United States
Loss	15–4	Hitomi Akano	Submission (triangle armbar)	Strikeforce Challengers: Riggs vs. Taylor	2	1:48	Phoenix, Arizona , United States
Win	15–3	Aline Sério	TKO (punches)	Jungle Fight 17: Vila Velha	1	3:42	Espírito Santo , Brazil
Win	14–3	Vanessa Maguila	Submission (armbar)	Vila Velha Fight Combat	1	2:31	Espírito Santo , Brazil
Win	13–3	Daiana Silva Dos Santos	TKO (punches)	Bitetti Combat MMA 5	3	3:27	São Paulo , Brazil
Win	12–3	Kalindra Faria	TKO (corner stoppage)	X-Combat Ultra MMA	2	1:52	Espírito Santo , Brazil
Win	11–3	Ana Maria	KO (punches)	Midway Superfight Vitoria	3	3:53	Espírito Santo , Brazil
Win	10–3	Ana Maria	Decision (unanimous)	Prime: MMA Championship 3	3	5:00	Salvador, Bahia , Brazil
Win	9–3	Lashonda Knox	KO (knee)	Freestyle Combat Challenge 35	1	0:11	Racine, Wisconsin , United States
Win	8–3	Sofia Bagherdai	Submission (armbar)	FFF 4: Call of the Wild	2	1:52	Los Angeles, California , United States
Win	7–3	Jessica Aguilar	Decision (unanimous)	BodogFight: Vancouver	3	5:00	Vancouver, British Columbia , Canada
Win	6–3	Molly Helsel	Decision (majority)	BodogFight: Costa Rica	3	5:00	Costa Rica
Loss	5–3	Rosi Sexton	Submission (armbar)	BodogFight: Clash of the Nations	1	4:15	Saint Petersburg , Russia
Loss	5–2	Miku Matsumoto	Decision (unanimous)	MARS 4: New Deal	2	5:00	Tokyo , Japan
Win	5–1	Miku Matsumoto	Technical submission (armbar)	MARS: Attack 1	2	1:17	Tokyo , Japan
Win	4–1	Maria Naja	Submission (armbar)	Clube da Luta 5	1	1:05	Bahia , Brazil
Loss	3–1	Ana Michelle Tavares	Submission (triangle choke)	Show Fight 3	2	N/A	São Paulo , Brazil
Win	3–0	Luane Taise	Submission (armbar)	Night of the Fight 1	1	3:20	Espírito Santo , Brazil
Win	2–0	Vanessa Porto	Decision (unanimous)	Barra Submission Wrestling	2	5:00	Brazil
Win	1–0	Iris Lopes	Submission (armbar)	Vitoria Extreme Fighting 2	2	3:40	Vitória, Brazil , Brazil
