Date	Opponent	Venue	Result	Attendance
4 August 2007	Stirling Albion	Forthbank	1–1 [ dead link ]	2,215
11 August 2007	Livingston	Firhill	3–0 [ dead link ]	2,481
18 August 2007	Clyde	Firhill	4–0 [ dead link ]	3,175
25 August 2007	Dundee	Dens Park	0–3 [ dead link ]	4,354
1 September 2007	Hamilton Accies	Firhill	0–3 [ dead link ]	3,075
15 September 2007	St. Johnstone	McDiarmid Park	1–2 [ dead link ]	2,895
22 September 2007	Queen of the South	Firhill	2–0 [ dead link ]	2,419
29 September 2007	Dunfermline Athletic	East End Park	0–1 [ dead link ]	4,351
6 October 2007	Morton	Cappielow	2–4 [ dead link ]	3,338
20 October 2007	Stirling Albion	Firhill	1–1 [ dead link ]	2,071
27 October 2007	Dundee	Firhill	1–1 [ dead link ]	2,589
3 November 2007	Clyde	Broadwood	2–1 [ dead link ]	1,980
10 November 2007	Hamilton Accies	New Douglas Park	0–2 [ dead link ]	2,755
14 November 2007	Livingston	Almondvale	4–0 [ dead link ]	2,018
1 December 2007	St. Johnstone	Firhill	2–2 [ dead link ]	2,388
8 December 2007	Queen of the South	Palmerston	2–1 [ dead link ]	1,753
15 December 2007	Dunfermline Athletic	Firhill	1–1 [ dead link ]	2,176
22 December 2007	Morton	Firhill	1–1 [ dead link ]	3,611
29 December 2007	Dundee	Dens Park	0–1 [ dead link ]	4,548
2 January 2008	Clyde	Firhill	1–1 [ dead link ]	3,299
5 January 2008	St. Johnstone	McDiarmid Park	0–2 [ dead link ]	2,490
19 January 2008	Hamilton Accies	Firhill	3–0 [ dead link ]	2,409
9 February 2008	Stirling Albion	Forthbank	0–1 [ dead link ]	1,306
16 February 2008	Dunfermline Athletic	East End Park	1–1 [ dead link ]	1,306
23 February 2008	Queen of the South	Firhill	0–0 [ dead link ]	2,599
1 March 2008	Clyde	Broadwood	4–1 [ dead link ]	1,717
4 March 2008	Livingston	Firhill	2–1 [ dead link ]	1,372
15 March 2008	Morton	Cappielow	0–0 [ dead link ]	2,682
22 March 2008	St. Johnstone	Firhill	0–0 [ dead link ]	2,309
29 March 2008	Hamilton	New Douglas Park	0–0 [ dead link ]	2,150
1 April 2008	Dundee	Firhill	1–0 [ dead link ]	2,426
5 April 2008	Dunfermline Athletic	Firhill	0–1 [ dead link ]	2,500
8 April 2008	Stirling Albion	Firhill	1–0 [ dead link ]	1,267
16 April 2008	Queen of the South	Palmerston	0–2 [ dead link ]	1,702
19 April 2008	Livingston	Almondvale	0–1 [ dead link ]	1,575
26 April 2008	Morton	Firhill	0–3 [ dead link ]	4,915
