Name	Location	Length in km (mi)	Year Completed	Line
Seikan Tunnel	Japan ( Tsugaru Strait )	53.9 (33.5)	1988	Kaikyo Line ( Hokkaidō Shinkansen )
Channel Tunnel	France / United Kingdom ( English Channel )	50.5 (31.3)	1994	Channel Tunnel
Lötschberg Base Tunnel	Switzerland ( Bernese Alps )	34.5 (21.4)	2007	Lötschbergbahn Brig - Thun (- Bern - Basel )
Guadarrama Tunnel	Spain ( Sierra de Guadarrama )	km (mi)	2007	LAV Madrid - Valladolid
Taihang Tunnel	China ( Shanxi )	km (mi)	2007	Shijiazhuang–Taiyuan High-Speed Railway
Hakkōda Tunnel	Japan ( Hakkōda Mountains )	km (mi)	2010	Tōhoku Shinkansen
Iwate-Ichinohe Tunnel	Japan ( Ōu Mountains )	25.8 (16.0)	2002	Tōhoku Shinkansen
Lainzer/Wienerwaldtunnel	Austria ( Vienna )	km (mi)	2012	West railway
Middle Tianshan Tunnel	China ( Xinjiang )	km (mi)	2012	Turpan - Kuqa County Railway
Daishimizu Tunnel	Japan ( Mount Tanigawa )	22.2 (13.8)	1982	Jōetsu Shinkansen
Qingyunshan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
Wushaoling Tunnel	China ( Gansu )	km (mi)	2006	Lanzhou - Ürümqi Railway
Lüliangshan Tunnel	China ( Shanxi )	km (mi)	2011	Taiyuan - Zhongwei - Yinchuan Railway
Geumjeong Tunnel	South Korea ( Busan )	km (mi)	2010	Gyeongbu High Speed Railway
Simplon (2 tubes)	Italy / Switzerland ( Lepontine Alps )	19.8 (12.3)	1906/1922	Genève/Basel - Brig - Novara / Milano
Vereina	Switzerland ( Silvretta )	19.1 (11.8)	1999	( Chur -) Klosters - Saglians
Shin Kanmon	Japan ( Kanmon Straits )	18.7 (11.6)	1975	Sanyō Shinkansen
Vaglia	Italy ( Tuscan-Emilian Apennines )	km (mi)	2009	Bologna–Florence high-speed railway
Apennine Base Tunnel	Italy ( Apennine Mountains )	18.5 (11.5)	1934	Bologna - Florence
Qinling Tunnel ( zh )	China ( Shaanxi )	km (mi)	2002/2005	Xi'an–Ankang Railway
Xuefengshan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
