Week	Date	Opponent	Result	Attendance
1	September 2, 1984	at Detroit Lions	W 30-27	56,782
2	September 10, 1984 (Mon)	Washington Redskins	W 37-31	59,707
3	September 16, 1984	New Orleans Saints	W 30-20	57,611
4	September 23, 1984	at Philadelphia Eagles	W 21-9	62,771
5	September 30, 1984	Atlanta Falcons	W 14-5	57,990
6	October 8, 1984 (Mon)	at New York Giants	W 31-10	76,112
7	October 14, 1984	Pittsburgh Steelers	L 17-20	59,110
8	October 21, 1984	at Houston Oilers	W 34-21	39,900
9	October 28, 1984	at Los Angeles Rams	W 33-0	65,481
10	November 4, 1984	Cincinnati Bengals	W 23-17	58,324
11	November 11, 1984	at Cleveland Browns	W 41-7	60,092
12	November 18, 1984	Tampa Bay Buccaneers	W 24-17	57,704
13	November 25, 1984	at New Orleans Saints	W 35-3	65,177
14	December 2, 1984	at Atlanta Falcons	W 35-17	29,644
15	December 8, 1984 (Sat)	Minnesota Vikings	W 51-7	56,670
16	December 14, 1984 (Fri)	Los Angeles Rams	W 19-16	59,743
