No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
32	1	"A Death in the Family"	Mark Tinker	Shonda Rhimes , Jon Cowan & Robert Rovner	October1,2009	11.58
33	2	"The Way We Were"	Donna Deitch	Patti Carr & Lara Olsen	October8,2009	9.50
34	3	"Right Here, Right Now"	Rob Corn	Dana Baratta	October15,2009	10.36
35	4	"Pushing the Limits"	Allison Liddi-Brown	Ayanna A. Floyd	October22,2009	9.93
36	5	"Strange Bedfellows"	Steve Gomer	Kathy McCormick	October29,2009	9.16
37	6	"Slip Slidin’ Away"	Helen Shaver	Fred Einesman	November5,2009	9.11
38	7	"The Hard Part"	Mark Tinker	Steve Blackman	November12,2009	10.25
39	8	"Sins of the Father"	Tom Verica	Elizabeth J.B. Klaviter	November19,2009	8.93
40	9	"The Parent Trap"	Donna Deitch	Craig Turk	December3,2009	9.21
41	10	"Blowups"	Mark Tinker	Sonay Washington	December3,2009	9.21
42	11	"Another Second Chance"	Michael Zinberg	Krista Vernoff & Kathy McCormick	January14,2010	10.96
43	12	"Best Laid Plans"	Bethany Rooney	Patti Carr & Lara Olsen	January21,2010	9.64
44	13	"Shotgun"	Karen Gaviola	Jon Cowan & Robert Rovner	February4,2010	9.25
45	14	"Love Bites"	Matthew Penn	Dana Baratta	February11,2010	9.04
46	15	"Til Death Do Us Part"	Kenny Leon	Craig Turk	February18,2010	7.59
47	16	"Fear of Flying"	Mark Tinker	Ayanna A. Floyd	March4,2010	7.57
48	17	"Triangles"	Tom Verica	Steve Blackman	March11,2010	7.66
49	18	"Pulling the Plug"	Ann Kindberg	Kathy McCormick	March25,2010	8.71
50	19	"Eyes Wide Open"	Eric Stoltz	Jesse Zigelstein	April1,2010	7.82
51	20	"Second Choices"	Jeff Bleckner	Patti Carr & Lara Olsen	April22,2010	7.49
52	21	"War"	Eric Stoltz	Elizabeth Klaviter & Sonay Washington	April29,2010	7.78
53	22	"In the Name of Love"	Mark Tinker	Fred Einesman	May6,2010	8.15
