Player	League	Malaysia Cup	FA Cup	Total
Carlos Augusto Quinonez	7	0	0	7
Marcelo Padilha Da Rocha	4	0	1	5
S Sunder	3	0	0	3
Shariful Hisham Ibrahim	3	0	0	3
Jorge Armando Rodriguez Arguello	2	0	0	2
Facundo Martin Arguello	2	0	0	2
Zamri Hassan	2	0	0	2
Nizamuddin Hamid	2	0	0	2
Luis Rodrigo Vieira	1	0	0	1
Reeshafiq Alwi	1	0	0	1
K Kumaran	1	0	0	1
Azlan Hussain	0	0	0	0
Faizal Desa	0	0	0	0
Syahman Zainuddin	0	0	0	0
Zaki Tumpang (GK)	0	0	0	0
M Patrick Maria	0	0	0	0
Saiful Amar Sudar (GK)	0	0	0	0
V Karnnan	0	0	0	0
V Saysupelan	0	0	0	0
Zulkifli Derus	0	0	0	0
