Rider	Manufacturer	Laps	Time/Retired	Grid
Héctor Faubel	Aprilia	24	+40:14.228	2
Gábor Talmácsi	Aprilia	24	+0.185	1
Sergio Gadea	Aprilia	24	+0.286	3
Mattia Pasini	Aprilia	24	+0.826	8
Lukáš Pešek	Derbi	24	+0.878	4
Esteve Rabat	Honda	24	+5.850	11
Pablo Nieto	Aprilia	24	+9.038	5
Bradley Smith	Honda	24	+13.034	12
Tomoyoshi Koyama	KTM	24	+20.734	15
Pol Espargaró	Aprilia	24	+21.002	9
Nicolás Terol	Derbi	24	+21.346	7
Simone Corsi	Aprilia	24	+32.078	6
Michael Ranseder	Derbi	24	+39.542	16
Alexis Masbou	Honda	24	+39.548	18
Randy Krummenacher	KTM	24	+39.706	17
Stevie Bonsey	KTM	24	+39.880	27
Stefano Bianco	Aprilia	24	+40.877	19
Dominique Aegerter	Aprilia	24	+40.998	23
Roberto Tamburini	Aprilia	24	+44.169	26
Andrea Iannone	Aprilia	24	+44.173	25
Danny Webb	Honda	24	+54.912	28
Robert Muresan	Derbi	24	+1:09.235	29
Mike Di Meglio	Honda	24	+1:12.208	21
Joey Litjens	Honda	24	+1:12.315	32
Dino Lombardi	Honda	24	+1:12.770	34
Daniel Saez	Aprilia	24	+1:12.786	31
Pere Tutusaus	Aprilia	24	+1:12.868	33
Ferruccio Lamborghini	Aprilia	24	+1:16.195	36
Alen Győrfi	Aprilia	24	+1:38.850	37
Joan Olivé	Aprilia	23	+1 Lap	13
Lorenzo Zanetti	Aprilia	11	Retirement	24
Simone Grotzkyj	Aprilia	11	Retirement	35
Sandro Cortese	Aprilia	9	Retirement	10
Takaaki Nakagami	Honda	9	Retirement	20
Raffaele de Rosa	Aprilia	7	Retirement	22
Stefan Bradl	Aprilia	1	Retirement	14
Ivan Maestro	Aprilia	0	Retirement	30
