Date	Tournament	Surface	Opponent in the final	Score
2 May 2005	Seogwipo	Hard	James Auckland	7–5, 6–3
30 May 2005	Wuhan	Hard	Ishay Hadash	7–6, 6–3
19 September 2005	Rockhampton	Hard	Luke Bourgeois	7–6, 2–6, 6–4
10 October 2005	Queensland	Hard	Mark Nielsen	7–5, 6–3
12 February 2007	Wollongong	Hard	Grega Žemlja	7–5, 6–1
7 May 2007	Kuwait	Hard	Mohammed Ghareeb	6–3, 6–2
4 June 2007	Puerto Cruz	Carpet	Guillermo Alcaide	6–4, 6–4
6 August 2007	Wrexham	Hard	Adam Feeney	6–4, 4–6, 6–4
17 September 2007	Lubbock	Hard	Dušan Vemić	6–3, 7–6 (9–7)
30 June 2008	Dublin	Hard	Frederik Nielsen	7–6 (7–5) , 6–2
22 March 2009	Poitiers	Hard	Dominik Meffert	6–4, 3–6, 6–3
