Ship	Tonnage	Builder	Original Operator	Fate
Friedrich der Grosse	GT	AG Vulcan	NDL	01922 Sunk after fire, 1922
Barbarossa	GT	Blohm & Voss	NDL	01924 Scrapped, 1924
Königin Luise	GT	AG Vulcan	NDL	01935 Scrapped, 1935
Bremen	GT	F. Schichau	NDL	01929 Scrapped, 1929
König Albert	GT	AG Vulcan	NDL	01926 Scrapped, 1926
Hamburg	GT	AG Vulcan	HAPAG	01928 Scrapped, 1928
Prinzess Irene	GT	AG Vulcan	NDL	01932 Scrapped, 1932
Kiautschou	GT	AG Vulcan	HAPAG	01934 Scrapped, 1934
Moltke	GT	Blohm & Voss	HAPAG	01925 Scrapped, 1925
Blücher	GT	Blohm & Voss	HAPAG	01929 Scrapped, 1929
