Latest stable release	Developer	3D support?	Runs on POSIX style systems ?	Runs on Windows?	User Interface Language(s)
1.0	Eethal Inc.	Yes	No	Yes	EN
6.5	Data Design System ASA	Yes	No	Yes	EN
V 2.13.15 (04/2013)	DXF Viewer	Yes	Yes( Java )	Yes( Java )	EN , DE [ citation needed ]
3.46	AutoDWG	Yes	No	Yes	EN
14	Advanced Computer Solutions	Yes	No	Yes	EN
1.1.5	Andéor	Yes	Yes	Yes	ZH , DE , EN , FR , IT , JA , ES
2018	Trial Systems Ltd	Yes	No	Yes	EN
6.1	Cadmatic Oy	Yes	No	Yes	EN
2012	IronCAD LLC	Yes	No	Yes	EN
2009	progeCAD	No	No	Yes	EN
2012 v1	VariCAD	Yes	Yes Linux	Yes	EN , DE , JP , PT , CN
08.11 (v8i)	Bentley Systems	Yes	Yes	Yes	EN
3.9.0 (06/2013)	Open Design Alliance	Yes	Yes	Yes	EN
1.7 (2009)	Sescoi	Yes	No	Yes	EN , FR , DE , ES , IT , JP , CN
1.4 (2012 )	Geometric Limited	Yes	No	Yes	EN
1.0.2 (05/2012)	LibreCAD	No	Yes	Yes	CN , EN , ES , FR , DE , HU , IT , JP , RU , other
