Team	Winners	Runners-up	Years won	Years runner-up
Hamburg	2	1	2005 , 2007	1999
Stuttgart	2	0	2000 , 2002	–
Schalke 04	2	0	2003 , 2004	–
Villarreal	2	0	2003 , 2004	–
Karlsruhe	1	1	1996	1995
Auxerre	1	1	1997	2000
Bologna	1	1	1998	2002
Valencia	1	1	1998	2005
Montpellier	1	1	1999	1997
Lille	1	1	2004	2002
Newcastle United	1	1	2006	2001
Braga	1	0	2008	–
Bordeaux	1	0	1995	–
Strasbourg	1	0	1995	–
Guingamp	1	0	1996	–
Silkeborg	1	0	1996	–
Bastia	1	0	1997	–
Lyon	1	0	1997	–
Werder Bremen	1	0	1998	–
West Ham United	1	0	1999	–
Juventus	1	0	1999	–
Celta Vigo	1	0	2000	–
Udinese	1	0	2000	–
Troyes	1	0	2001	–
Paris Saint-Germain	1	0	2001	–
Aston Villa	1	0	2001	–
Fulham	1	0	2002	–
Málaga	1	0	2002	–
Perugia	1	0	2003	–
Marseille	1	0	2005	–
Lens	1	0	2005	–
Tirol Innsbruck	0	1	–	1995
Rotor Volgograd	0	1	–	1996
Segesta	0	1	–	1996
Standard Liège	0	1	–	1996
Halmstads	0	1	–	1997
Duisburg	0	1	–	1997
Vojvodina	0	1	–	1998
Ruch Chorzów	0	1	–	1998
Salzburg	0	1	–	1998
Metz	0	1	–	1999
Stade Rennais	0	1	–	1999
Zenit St Petersburg	0	1	–	2000
Sigma Olomouc	0	1	–	2000
Basel	0	1	–	2001
Brescia	0	1	–	2001
Heerenveen	0	1	–	2003
Wolfsburg	0	1	–	2003
Pasching	0	1	–	2003
Leiria	0	1	–	2004
Atlético Madrid	0	1	–	2004
Slovan Liberec	0	1	–	2004
CFR Cluj	0	1	–	2005
