number	date of debut	name	date of birth	number of caps	number of goals	date of death†
1	30-04-1905	Reinier Beeuwkes	17-02-1884	19	0	01-04-1963
2	30-04-1905	Rein Boomsma	19-06-1879	2	0	26-05-1943
3	30-04-1905	Karel Gleenewinkel Kamperdijk	30-10-1883	2	0	20-06-1975
4	30-04-1905	Dolf Kessler	02-04-1884	3	0	21-08-1942
5	30-04-1905	Bok de Korver	27-01-1883	31	1	22-10-1957
6	30-04-1905	Dirk Lotsy	03-07-1882	10	1	27-03-1965
7	30-04-1905	Guus Lutjens	13-08-1884	14	5	25-04-1974
8	30-04-1905	Eddy de Neve	01-01-1882	3	6	30-08-1943
9	30-04-1905	Peet Stol	26-01-1880	2	0	27-11-1956
10	30-04-1905	Ben Stom	13-10-1886	9	0	18-08-1965
11	30-04-1905	Willy de Vos	26-01-1880	2	0	15-07-1957
12	14-05-1905	Willem Hesselink	08-02-1878	1	1	01-12-1973
13	29-04-1906	Kees Bekker	26-10-1883	6	0	28-12-1964
14	29-04-1906	Frans de Bruyn Kops	28-10-1886	3	0	22-11-1979
15	29-04-1906	Constant Feith	03-08-1884	8	2	15-09-1958
16	29-04-1906	Mannes Francken	20-05-1888	22	17	19-11-1948
17	29-04-1906	Anton Lens	28-11-1884	2	0	08-10-1955
18	29-04-1906	Henk Muller	24-10-1887	2	1	07-05-1940
19	29-04-1906	Jan Schoemaker	29-05-1882	2	0	27-05-1954
20	13-05-1906	Jo Eshuijs	06-02-1885	1	0	24-11-1979
21	13-05-1906	Toine van Renterghem	17-04-1885	3	0	01-03-1967
22	13-05-1906	Ferry van der Vinne	19-07-1886	3	1	15-11-1947
23	01-04-1907	Jan van Beek	22-10-1880	1	0	02-09-1954
24	01-04-1907	Hans Blume	16-11-1887	1	1	January 1978
25	01-04-1907	Pieter Boelmans ter Spill	26-01-1886	3	0	31-10-1954
26	01-04-1907	Iman Dozy	10-05-1887	4	0	18-07-1957
27	01-04-1907	John Heijning	12-12-1884	8	0	19-05-1947
28	01-04-1907	Karel Heijting	01-05-1883	17	0	00-08-1951
29	01-04-1907	Max Henny	01-10-1885	1	0	05-01-1968
30	01-04-1907	Willem Janssen	11-06-1880	3	0	08-09-1976
31	14-04-1907	Lothar van Gogh	07-02-1888	2	2	28-05-1945
32	21-12-1907	Lo la Chapelle	22-06-1888	1	0	23-07-1966
33	21-12-1907	Tonny Kessler	20-04-1889	3	1	15-02-1960
34	21-12-1907	Lou Otten	05-11-1883	12	0	07-11-1946
35	21-12-1907	Cas Ruffelse	09-02-1888	8	3	09-09-1958
36	21-12-1907	Edu Snethlage	09-05-1886	11	10	12-01-1941
37	21-12-1907	Jan Thomée	04-12-1886	16	16	01-04-1954
38	21-12-1907	Caius Welcker	09-07-1885	17	5	13-02-1939
39	29-03-1908	Herman Jurgens	18-07-1884	2	0	07-09-1964
40	29-03-1908	Noud Stempels	04-04-1882	3	0	12-10-1970
41	26-04-1908	Jan Akkersdijk	08-01-1887	2	1	31-03-1953
42	10-05-1908	Guus van Hecking Colenbrander	07-11-1887	1	0	13-03-1941
43	22-10-1908	Miel Mundt	30-05-1880	4	0	17-06-1949
44	22-10-1908	Jops Reeman	09-08-1886	2	1	16-03-1959
45	22-10-1908	Ed Sol	10-06-1881	3	0	21-10-1965
46	23-10-1908	Jan Kok	09-07-1889	1	0	02-12-1958
47	25-10-1908	Wim Groskamp	08-10-1886	1	0	13-01-1974
48	25-10-1908	Harry Kuneman	15-01-1886	1	0	07-09-1945
49	21-03-1909	Vic Gonsalves	20-10-1887	3	0	29-08-1922
50	21-03-1909	Dé Kessler	11-08-1891	21	9	06-09-1943
51	21-03-1909	Kees van Nieuwenhuizen	21-04-1884	2	0	12-10-1981
52	25-04-1909	Willem Boerdam	02-11-1883	2	0	09-12-1966
53	11-12-1909	Leo Bosschart	24-08-1888	19	1	09-05-1951
