Date	Internet Explorer	Firefox	Opera	Safari	Source
June 2010	53.8%	30.6%	2.4%	6.8%	2010-6
March 2010	57.1%	29.6%	2.2%	5.2%	2010-3
September 2009	62.0%	28.4%	2.2%	4.3%	2009–11
April 2009	63.6%	28.4%	2.2%	3.4%	2009-5
March 2009	64.6%	27.8%	2.2%	3.3%	2009-5
February 2009	65.6%	27.4%	2.1%	3.0%	2009-5
January 2009	58.1%	32.5%	4.1%	3.0%	2009-1
December 2008	58.5%	32.3%	4.5%	2.7%	2009-1
November 2008	59.5%	31.1%	5.1%	2.5%	2008-12-22
October 2008	59.2%	31.1%	5.4%	2.4%	2008-12-22
September 2008	60.2%	31.2%	4.8%	2.4%	2008-10-10
August 2008	59.4%	33.0%	4.5%	2.6%	2008-10-10
July 2008	60.4%	32.2%	4.5%	2.4%	2008-10-10
June 2008	60.5%	31.4%	5.1%	2.5%	2008-10-10
May 2008	61.7%	30.7%	4.7%	2.4%	2008-10-10
April 2008	64.5%	28.9%	3.6%	2.4%	2008-10-10
March 2008	65.0%	28.8%	3.3%	2.3%	2008-04-30
February 2008	65.6%	28.5%	3.2%	2.2%	2008-04-30
January 2008	66.1%	28.0%	3.2%	2.1%	2008-04-30
December 2007	66.1%	28.0%	3.3%	2.0%	2008-04-30
November 2007	66.9%	27.3%	3.2%	1.9%	2008-04-30
October 2007	67.5%	27.0%	3.1%	1.8%	2008-04-30
September 2007	66.6%	27.7%	3.4%	1.8%	2007-10-30
2–8 July 2007	66.5%	27.8%	3.5%	1.7%	2007-07-18
