Track	Title	Translation	Composer	Recorded
1	"La haine"	Hate	Jacques Brel	1954-02-15
2	"Grand Jacques (C'est trop facile)"	Great Jacques (It's too easy)	Jacques Brel	1954-02-15
3	"Il pleut 'Les carreaux'"	It's raining 'tiles'	Jacques Brel	1954-02-15
4	"Le diable 'Ca va'"	The devil 'It's good'	Jacques Brel	1954-02-15
5	"Il peut pleuvoir"	It can rain	Jacques Brel, Glen Powell	1954-02-15
6	"Il nous faut regarder"	We need to look	Jacques Brel	1954-02-15
7	"Le fou du roi"	The jester	Jacques Brel	1954-02-15
8	"C'est comme ça"	That's the way it is	Jacques Brel	1954-02-15
9	"Sur la place"	In the square	Jacques Brel	1954-02-15
10	"S'il te faut"	If you have to	Jacques Brel	1955-03-11
11	"La Bastille"	The Bastille	Jacques Brel	1955-10-25
12	"Prière païenne"	Pagan prayer	Jacques Brel	1956-09-18
13	"Il y a"	There is	Jacques Brel	1953-02-17
14	"La foire"	The fair	Jacques Brel	1953-02-17
15	"Sur la place"	In the square	Jacques Brel	1961-11-10
