Year	Playoff round	Venue	Winner	Result	Loser
1948 (1)	Semifinals	St. Louis Arena	Philadelphia Warriors ( 1)	85–46*	St. Louis Bombers ( 1)
1951 (1)	Finals	Edgerton Park Arena	Rochester Royals ( 1)	79–75^	New York Knicks ( 1)
1952 (1)	Finals	Minneapolis Auditorium	Minneapolis Lakers ( 1)	82–65^	New York Knicks ( 2)
1954 (1)	Finals	Minneapolis Auditorium	Minneapolis Lakers ( 2)	87–80^	Syracuse Nationals ( 1)
1955 (1)	Finals	Onondaga War Memorial	Syracuse Nationals ( 2)	92–91^	Fort Wayne Pistons ( 1)
1957 (1)	Finals	Boston Garden	Boston Celtics ( 1)	125–123 (2OT) ^	St. Louis Hawks ( 1)
1959 (1)	Division Finals	Boston Garden	Boston Celtics ( 2)	130–125	Syracuse Nationals ( 3)
1960 (1)	Division Finals	Kiel Auditorium	St. Louis Hawks ( 2)	97–86	Minneapolis Lakers ( 3)
1960 (2)	Finals	Boston Garden	Boston Celtics ( 3)	122–103^	St. Louis Hawks ( 3)
1961 (1)	Division Finals	Kiel Auditorium	St. Louis Hawks ( 4)	105–103	Los Angeles Lakers ( 4)
1962 (1)	Division Finals	Boston Garden	Boston Celtics ( 4)	109–107	Philadelphia Warriors ( 2)
1962 (2)	Finals	Boston Garden	Boston Celtics ( 5)	110–107 (OT) ^	Los Angeles Lakers ( 5)
1963 (1)	Division Finals	Boston Garden	Boston Celtics ( 6)	142–131	Cincinnati Royals ( 2)
1963 (2)	Division Finals	Los Angeles Memorial Sports Arena	Los Angeles Lakers ( 6)	115–100	St. Louis Hawks ( 5)
1964 (1)	Division Finals	Cow Palace	San Francisco Warriors ( 3)	105–95	St. Louis Hawks ( 6)
1965 (1)	Division Finals	Boston Garden	Boston Celtics ( 7)	110–109	Philadelphia 76ers ( 4)
1966 (1)	Division Finals	Los Angeles Memorial Sports Arena	Los Angeles Lakers ( 7)	130–121	St. Louis Hawks ( 7)
1966 (2)	Finals	Boston Garden	Boston Celtics ( 8)	95–93^	Los Angeles Lakers ( 8)
1968 (1)	Division Finals	The Spectrum	Boston Celtics ( 9)	100–96*	Philadelphia 76ers ( 5)
1969 (1)	Finals	The Forum	Boston Celtics (10)	108–106*^	Los Angeles Lakers ( 9)
1970 (1)	Division Semifinals	Madison Square Garden	New York Knicks ( 3)	127–114	Baltimore Bullets ( 1)
1970 (2)	Division Semifinals	The Forum	Los Angeles Lakers (10)	129–94	Phoenix Suns ( 1)
1970 (3)	Finals	Madison Square Garden	New York Knicks ( 4)	113–99^	Los Angeles Lakers (11)
1971 (1)	Conference Semifinals	Baltimore Civic Center	Baltimore Bullets ( 2)	128–120	Philadelphia 76ers ( 6)
1971 (2)	Conference Semifinals	The Forum	Los Angeles Lakers (12)	109–98	Chicago Bulls ( 1)
1971 (3)	Conference Finals	Baltimore Civic Center	Baltimore Bullets ( 3)	93–91*	New York Knicks ( 5)
1973 (1)	Conference Semifinals	The Forum	Los Angeles Lakers (13)	95–92	Chicago Bulls ( 2)
1973 (2)	Conference Finals	Boston Garden	New York Knicks ( 6)	94–78*	Boston Celtics (11)
1974 (1)	Conference Semifinals	Madison Square Garden	New York Knicks ( 7)	91–81	Capital Bullets ( 4)
1974 (2)	Conference Semifinals	Chicago Stadium	Chicago Bulls ( 3)	96–94	Detroit Pistons ( 2)
1974 (3)	Finals	Milwaukee Arena	Boston Celtics (12)	102–87*^	Milwaukee Bucks ( 1)
1975 (1)	Conference Semifinals	Capital Centre	Washington Bullets ( 5)	115–96	Buffalo Braves ( 1)
1975 (2)	Conference Finals	Oakland-Alameda County Coliseum Arena	Golden State Warriors ( 4)	83–79	Chicago Bulls ( 4)
1976 (1)	Conference Semifinals	Coliseum at Richfield	Cleveland Cavaliers ( 1)	87–85	Washington Bullets ( 6)
1976 (2)	Conference Finals	Oakland-Alameda County Coliseum Arena	Phoenix Suns ( 2)	94–86*	Golden State Warriors ( 5)
1977 (1)	Conference Semifinals	The Spectrum	Philadelphia 76ers ( 7)	83–77	Boston Celtics (13)
1977 (2)	Conference Semifinals	The Forum	Los Angeles Lakers (14)	97–84	Golden State Warriors ( 6)
1978 (1)	Conference Semifinals	McNichols Sports Arena	Denver Nuggets ( 1)	116–110	Milwaukee Bucks ( 2)
1978 (2)	Finals	Seattle Center Coliseum	Washington Bullets ( 7)	105–99*^	Seattle SuperSonics ( 1)
1979 (1)	Conference Semifinals	Capital Centre	Washington Bullets ( 8)	100–94	Atlanta Hawks ( 8)
1979 (2)	Conference Semifinals	HemisFair Arena	San Antonio Spurs ( 1)	111–108	Philadelphia 76ers ( 8)
1979 (3)	Conference Finals	King County Domed Stadium	Seattle SuperSonics ( 2)	114–110	Phoenix Suns ( 3)
1979 (4)	Conference Finals	Capital Centre	Washington Bullets ( 9)	107–105	San Antonio Spurs ( 2)
1980 (1)	Conference Semifinals	King County Domed Stadium	Seattle SuperSonics ( 3)	98–94	Milwaukee Bucks ( 3)
1981 (1)	Conference Semifinals	HemisFair Arena	Houston Rockets ( 1)	105–100*	San Antonio Spurs ( 3)
1981 (2)	Conference Semifinals	The Spectrum	Philadelphia 76ers ( 9)	99–98	Milwaukee Bucks ( 4)
1981 (3)	Conference Semifinals	Arizona Veterans Memorial Coliseum	Kansas City Kings ( 3)	95–88*	Phoenix Suns ( 4)
1981 (4)	Conference Finals	Boston Garden	Boston Celtics (14)	91–90	Philadelphia 76ers (10)
1982 (1)	Conference Finals	Boston Garden	Philadelphia 76ers (11)	120–106*	Boston Celtics (15)
1984 (1)	Conference Semifinals	Boston Garden	Boston Celtics (16)	121–104	New York Knicks ( 8)
1984 (2)	Finals	Boston Garden	Boston Celtics (17)	111–102^	Los Angeles Lakers (15)
1986 (1)	Conference Semifinals	MECCA Arena	Milwaukee Bucks ( 5)	113–112	Philadelphia 76ers (12)
1987 (1)	Conference Semifinals	Boston Garden	Boston Celtics (18)	119–113	Milwaukee Bucks ( 6)
1987 (2)	Conference Finals	Boston Garden	Boston Celtics (19)	117–114	Detroit Pistons ( 3)
1988 (1)	Conference Semifinals	The Forum	Los Angeles Lakers (16)	109–98	Utah Jazz ( 1)
1988 (2)	Conference Semifinals	Boston Garden	Boston Celtics (20)	118–116	Atlanta Hawks ( 9)
1988 (3)	Conference Finals	The Forum	Los Angeles Lakers (17)	117–102	Dallas Mavericks ( 1)
1988 (4)	Finals	The Forum	Los Angeles Lakers (18)	108–105^	Detroit Pistons ( 4)
1990 (1)	Conference Semifinals	Memorial Coliseum	Portland Trail Blazers ( 1)	108–105 (OT)	San Antonio Spurs ( 4)
1990 (2)	Conference Finals	The Palace of Auburn Hills	Detroit Pistons ( 5)	93–74	Chicago Bulls ( 5)
1992 (1)	Conference Semifinals	Chicago Stadium	Chicago Bulls ( 6)	110–81	New York Knicks ( 9)
1992 (2)	Conference Semifinals	Coliseum at Richfield	Cleveland Cavaliers ( 2)	122–104	Boston Celtics (21)
1993 (1)	Conference Semifinals	Seattle Center Coliseum	Seattle SuperSonics ( 4)	103–100 (OT)	Houston Rockets ( 2)
1993 (2)	Conference Finals	America West Arena	Phoenix Suns ( 5)	123–110	Seattle SuperSonics ( 5)
1994 (1)	Conference Semifinals	The Summit	Houston Rockets ( 3)	104–94	Phoenix Suns ( 6)
1994 (2)	Conference Semifinals	Delta Center	Utah Jazz ( 2)	91-81	Denver Nuggets ( 2)
1994 (3)	Conference Semifinals	Madison Square Garden	New York Knicks (10)	87–77	Chicago Bulls ( 7)
1994 (4)	Conference Finals	Madison Square Garden	New York Knicks (11)	94–90	Indiana Pacers ( 1)
1994 (5)	Finals	The Summit	Houston Rockets ( 4)	90–84^	New York Knicks (12)
1995 (1)	Conference Semifinals	America West Arena	Houston Rockets ( 5)	115–114*	Phoenix Suns ( 7)
1995 (2)	Conference Semifinals	Madison Square Garden	Indiana Pacers ( 2)	97–95*	New York Knicks (13)
1995 (3)	Conference Finals	Orlando Arena	Orlando Magic ( 1)	105–81	Indiana Pacers ( 3)
1996 (1)	Conference Finals	KeyArena at Seattle Center	Seattle SuperSonics ( 6)	90–86	Utah Jazz ( 3)
1997 (1)	Conference Semifinals	The Summit	Houston Rockets ( 6)	96–91	Seattle SuperSonics ( 7)
1997 (2)	Conference Semifinals	Miami Arena	Miami Heat ( 1)	101–90	New York Knicks (14)
1998 (1)	Conference Finals	United Center	Chicago Bulls ( 8)	88–83	Indiana Pacers ( 4)
2000 (1)	Conference Semifinals	American Airlines Arena	New York Knicks (15)	83–82*	Miami Heat ( 2)
2000 (2)	Conference Finals	Staples Center	Los Angeles Lakers (19)	89–84	Portland Trail Blazers ( 2)
2001 (1)	Conference Semifinals	First Union Center	Philadelphia 76ers (13)	88–87	Toronto Raptors ( 1)
2001 (2)	Conference Semifinals	Bradley Center	Milwaukee Bucks ( 7)	104–95	Charlotte Hornets ( 1)
2001 (3)	Conference Finals	First Union Center	Philadelphia 76ers (14)	108–91	Milwaukee Bucks ( 8)
2002 (1)	Conference Finals	ARCO Arena	Los Angeles Lakers (20)	112–106 (OT) *	Sacramento Kings ( 4)
2003 (1)	First Round	American Airlines Center	Dallas Mavericks ( 2)	107–95	Portland Trail Blazers ( 3)
2003 (2)	First Round	The Palace of Auburn Hills	Detroit Pistons ( 6)	108–93	Orlando Magic ( 2)
2003 (3)	Conference Semifinals	American Airlines Center	Dallas Mavericks ( 3)	112–95	Sacramento Kings ( 5)
2004 (1)	First Round	American Airlines Arena	Miami Heat ( 3)	85–77	New Orleans Hornets ( 2)
2004 (2)	Conference Semifinals	Target Center	Minnesota Timberwolves ( 1)	83–80	Sacramento Kings ( 6)
2004 (3)	Conference Semifinals	The Palace of Auburn Hills	Detroit Pistons ( 7)	90–69	New Jersey Nets ( 1)
2005 (1)	First Round	FleetCenter	Indiana Pacers ( 5)	97–70*	Boston Celtics (22)
2005 (2)	First Round	American Airlines Center	Dallas Mavericks ( 4)	116–76	Houston Rockets ( 7)
2005 (3)	Conference Finals	American Airlines Arena	Detroit Pistons ( 8)	88–82*	Miami Heat ( 4)
2005 (4)	Finals	SBC Center	San Antonio Spurs ( 5)	81–74^	Detroit Pistons ( 9)
2006 (1)	First Round	US Airways Center	Phoenix Suns ( 8)	121–90	Los Angeles Lakers (21)
2006 (2)	Conference Semifinals	The Palace of Auburn Hills	Detroit Pistons (10)	79–61	Cleveland Cavaliers ( 3)
2006 (3)	Conference Semifinals	SBC Center	Dallas Mavericks ( 5)	119–111 (OT) *	San Antonio Spurs ( 6)
2006 (4)	Conference Semifinals	US Airways Center	Phoenix Suns ( 9)	127–107	Los Angeles Clippers ( 2)
2007 (1)	First Round	Toyota Center	Utah Jazz ( 4)	103–99*	Houston Rockets ( 8)
2008 (1)	First Round	TD Banknorth Garden	Boston Celtics (23)	99–65	Atlanta Hawks (10)
2008 (2)	Conference Semifinals	TD Banknorth Garden	Boston Celtics (24)	97–92	Cleveland Cavaliers ( 4)
2008 (3)	Conference Semifinals	New Orleans Arena	San Antonio Spurs ( 7)	91–82*	New Orleans Hornets ( 3)
2009 (1)	First Round	TD Banknorth Garden	Boston Celtics (25)	109–99	Chicago Bulls ( 9)
2009 (2)	First Round	Philips Arena	Atlanta Hawks (11)	91–78	Miami Heat ( 5)
2009 (3)	Conference Semifinals	Staples Center	Los Angeles Lakers (22)	89–70	Houston Rockets ( 9)
2009 (4)	Conference Semifinals	TD Banknorth Garden	Orlando Magic ( 3)	101–82*	Boston Celtics (26)
2010 (1)	First Round	Philips Arena	Atlanta Hawks (12)	95–74	Milwaukee Bucks ( 9)
2010 (2)	Finals	Staples Center	Los Angeles Lakers (23)	83–79^	Boston Celtics (27)
2011 (1)	Conference Semifinals	Oklahoma City Arena	Oklahoma City Thunder ( 8)	105–90	Memphis Grizzlies ( 1)
2012 (1)	First Round	Staples Center	Los Angeles Lakers (24)	96–87	Denver Nuggets ( 3)
2012 (2)	First Round	FedExForum	Los Angeles Clippers ( 3)	82–72*	Memphis Grizzlies ( 2)
2012 (3)	Conference Semifinals	TD Garden	Boston Celtics ( 28)	85–75	Philadelphia 76ers ( 15)
2012 (4)	Conference Finals	American Airlines Arena	Miami Heat ( 6)	101–88	Boston Celtics ( 29)
2013 (1)	First Round	Barclays Center	Chicago Bulls ( 10)	99–93*	Brooklyn Nets ( 2)
2013 (2)	Conference Finals	American Airlines Arena	Miami Heat ( 7)	99–76	Indiana Pacers ( 6)
2013 (3)	Finals	American Airlines Arena	Miami Heat ( 8)	95–88	San Antonio Spurs ( 8)
