Rank	City	Country	Population	Area (km²)	Sources of Pop. / Area
1	Tokyo – Yokohama	Japan	35,200,000	7,835	C / B
2	Jakarta	Indonesia	22,000,000	2,720	F / B
3	Manila	Philippines	20,795,000	1,425	C / B
4	Seoul – Incheon	South Korea	19,910,000	1,943	C / B
5	Shanghai	China	18,400,000	2,396	C / B
6	Osaka – Kobe – Kyoto	Japan	17,320,000	2,720	C / B
7	Shenzhen	China	14,470,000	1,295	F / B
8	Beijing	China	13,955,000	2,616	C / B
9	Guangzhou – Foshan	China	13,245,000	2,590	E / B
10	Dongguan	China	10,525,00	1,295	F / B
11	Nagoya	Japan	10,025,000	3,302	C / B
12	Bangkok	Thailand	8,250,000	1,502	C / B
13	Ho Chi Minh City	Vietnam	7,785,000	609	E / B
14	Hong Kong	Hong Kong	7,055,000	220	E / B
15	Taipei - New Taipei - Keelung	Republic of China (Taiwan)	6,800,000	440	D / B
16	Tianjin	China	6,675,000	1,295	C / B
17	Kuala Lumpur	Malaysia	5,835,000	2,137	E / B
18	Chongqing	China	5,460,000	570	E / B
19	Hangzhou	China	5,305,000	712	E / B
20	Wuhan	China	5,260,000	712	E / B
21	Shenyang	China	5,160,000	777	E / B
22	Chengdu	China	4,785,000	570	E / B
23	Singapore	Singapore	4,635,000	479	D / B
24	Yangon (Rangoon)	Burma	4,400,000	350	D / B
25	Xi'an	China	3,955,000	531	E / B
26	Harbin	China	3,615,000	570	E / B
27	Suzhou	China	3,605,000	635	E / B
28	Bandung	Indonesia	3,555,000	401	E / B
29	Nanjing	China	3,550,000	686	E / B
30	Busan	South Korea	3,395,000	259	E / B
31	Pyongyang	North Korea	3,370,000	207	E / B
32	Dalian	China	3,255,000	570	E / B
33	Changchun	China	3,170,000	376	E / B
34	Kunming	China	3,070,000	518	E / B
35	Wuxi	China	2,925,000	389	E / B
36	Taiyuan	China	2,900,000	311	E / B
37	Surabaya	Indonesia	2,885,000	376	D / B
38	Taichung - Changhua	Republic of China (Taiwan)	2,815,000	492	E / B
39	Changsha	China	2,720,000	389	E / B
40	Kaohsiung	Republic of China (Taiwan)	2,670,000	363	E / B
41	Zhengzhou	China	2,590,000	466	E / B
42	Fukuoka	Japan	2,550,000	583	C / B
43	Shijiazhuang	China	2,530,000	363	E / B
45	Qingdao	China	2,495,000	440	E / B
46	Sapporo	Japan	2,475,000	648	C / B
47	Nanchang	China	2,465,000	155	E / B
48	Guiyang	China	2,440,000	207	E / B
49	Fuzhou	China	2,405,000	259	E / B
50	Lanzhou	China	2,385,000	181	E / B
51	Daegu	South Korea	2,380,000	181	E / B
52	Hanoi	Vietnam	2,355,000	194	E / B
53	Medan	Indonesia	2,340,000	246	E / B
54	Jinan	China	2,320,000	350	E / B
55	Changzhou	China	2,275,000	194	E / B
56	Xiamen	China	2,225,000	295	E / B
57	Shunde	China	2,105,000	401	E / B
58	Baotou	China	2,095,000	363	E / B
59	Jilin	China	2,070,000	233	E / B
60	Hefei	China	2,000,000	350	E / B
61	Kitakyūshū	Japan	2,000,000	842	C / B
