Previous season	Team	Town	Arena (capacity)	Website	Head Coach	Foreign Players (max. 2)
1	Dynamo-Tattransgaz Kazan	Kazan	Basket-Hall Arena (7 000)	www.dinamottg.ru	Viktor Sidelnikov	Lloy Ball Clayton Stanley
2	Dynamo Moscow	Moscow	Dynamo Sports Palace (5 000)	www.vcdynamo.ru	Daniele Bagnoli	Matej Černič Alan Barbosa Domingos
3	Iskra	Odintsovo	Volleyball Sportiv Complex (3 500)	www.vc-iskra.ru	Zoran Gajić	Giba Jochen Schöps
4	Fakel	Novy Urengoy	CSC Gazodobytchik (800)	www.fakelvolley.ru	Boris Kolchin	Domotor Meszaros Thomas Hoff
5	Lokomotiv-Izumrud	Ekaterinburg	DIVS Uralochka (5 000)	loko-izumrud.ur.ru	Valeriy Alferov	Terence Martin Jason Haldane
6	Dynamo-Yantar	Kaliningrad	SC Yunost	www.dinamoyantar.ru	Yuriy Panchenko	Sean Rooney Tuomas Sammelvuo
7	Gazprom-Yugra	Surgutsky district	SC Tennis Center	www.zsk-gazprom.ru	Rafael Habibullin	Sasa Gadnik Mahdi Hachemi
8	Lokomotiv Belogorie	Belgorod	Sports Palace Cosmos (5 000)	www.belogorievolley.ru	Genadiy Shipulin	Frank Depestel Samuel Fuchs
9	Ural	Ufa	FOC Neftyanik Bashkortostana	www.volleyufa.ru	Yuriy Marichev	Loïc Thiebaut de Kegret Renaud Herpe
10	Lokomotiv	Novosibirsk	SKK Sever (2 500)	www.lokovolley.ru	Pavel Borsch	William Priddy Héctor Soto
Promoted	Yaroslavich	Yaroslavl	SK Atlant	www.yarvolley.ru/	Vladimir Babakin	Lukas Chaves Frederick Winters
Promoted	Yugra-Samotlor	Niznevartovsk	SC Neftaynik	www.ugra-samotlor.ru	Yuriy Korotkevich	Sergey Shulga Denis Chaus
