Round	Pick #	Overall	Name	Position	College
1	25	25	Eddie Hinton	Wide Receiver	Oklahoma
2	7	33	Ted Hendricks	Linebacker	Miami (FL)
2	25	51	Tom Maxwell	Defensive Back	Texas A&M
3	25	77	Dennis Nelson	Offensive Tackle	Illinois State
4	9	87	Jackie Stewart	Running Back	Texas Tech
5	25	129	King Dunlap	Defensive Tackle	Tennessee A&I
6	24	154	Bill Fortier	Guard	LSU
7	7	163	Gary Fleming	Linebacker	Stanford
7	25	181	Roland Moss	Running Back	Toledo
8	25	207	Sam Havrilak	Defensive Back	Bucknell
9	2	210	George Wright	Defensive Tackle	Sam Houston State
9	24	232	Larry Good	Quarterback	Georgia Tech
10	25	259	Marion Griffin	Tight End	Purdue
11	25	285	Ken Delaney	Offensive Tackle	Akron
12	24	310	Butch Riley	Linebacker	Texas A&I
13	20	337	Carl Mauck	Linebacker	Southern Illinois
14	25	363	Dave Bartelt	Linebacker	Colorado
15	25	389	George Thompson	Defensive Back	Marquette
16	25	415	Jim McMillan	Wide Receiver	The Citadel
17	25	441	Joe Cowan	Wide Receiver	Johns Hopkins
