Season	Series	Team	Races	Wins	Poles	F/Laps	Points	Position
2006	Eurocup Formula Renault 2.0	Prema Powerteam	14	0	0	0	8	21st
2006	Formula Renault 2.0 Italia	Prema Powerteam	15	0	0	1	144	4th
2007	Formula Three Euroseries	Signature-Plus	20	2	0	1	37	8th
2008	Formula Three Euroseries	Signature-Plus	20	1	0	0	49.5	2nd
2008	Macau Grand Prix	Signature-Plus	1	0	0	0	0	2nd
2008–09	GP2 Asia Series	Trust Team Arden	8	0	0	0	11	11th
2009	Formula Renault 3.5 Series	Tech 1 Racing	4	0	0	0	6	24th
2009	Formula Renault 3.5 Series	KMP Group/SG Formula	4	0	0	0	6	24th
2009	GP2 Series	Telmex Arden International	20	1	0	2	19	14th
2009	Formula Three Euroseries	Kolles & Heinz Union	2	0	0	0	0	NC†
2009	Macau Grand Prix	Signature	1	1	0	1	N/A	1st
2010	Formula Three Euroseries	Signature	18	7	5	6	101	1st
2010	Macau Grand Prix	Signature	1	1	0	1	N/A	1st
2011	DTM	Team Rosberg	10	0	0	0	21	9th
2012	DTM	Team Rosberg	10	2	1	0	82	5th
