Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	10-6	Per Eklund	Submission (rear naked choke)	UFC 89	3	1:47	Birmingham , England
Loss	10-5	Clay Guida	TKO (punches)	UFC Fight Night 13	1	4:15	Broomfield, Colorado , United States
Win	10-4	Paul Jenkins	Submission (arm-triangle choke)	Cage Rage - Contenders	1	4:06	Dublin , Ireland
Win	9-4	Mark Dayrell	TKO (punch)	Cage Rage - Contenders 5	1	0:08	Dublin , Ireland
Win	8-4	Chris Stringer	KO (punches)	Cage Wars	1	0:18	Belfast , Northern Ireland
Win	7-4	Bruno Freitas	TKO (strikes)	Climax Fighting Championships 2	1	0:35	Bercy , France
Win	6-4	Sami Berik	Submission (rear naked choke)	Cage Warriors	1	2:32	Coventry , England
Win	5-4	Christophe Bea	Submission (triangle choke)	Climax Fighting Championships 1	1	2:45	Bercy , France
Loss	4-4	Eiji Mitsuoka	Submission (rear naked choke)	GCM - D.O.G. 3	1	2:12	Tokyo , Japan
Loss	4-3	Jean Silva	Submission (triangle choke)	Cage Rage 9: No Mercy	1	4:40	London , England
Loss	4-2	Robbie Olivier	Submission (rear naked choke)	Cage Rage 7: Battle of Britain	1	2:34	London , England
Win	4-1	Paul Sutherland	TKO (punches)	Cage Rage 5: Valentine's Brawl	1	0:14	London , England
Loss	3-1	Jean Silva	Submission (arm triangle choke)	CWFC 2 - Fists of Fury	3	3:47	London, England
Win	3-0	Brian Woodward	Submission (rear naked choke)	CWFC 1 - Armageddon	1	0:22	Portsmouth , England
Win	2-0	Stephane Jamet	Submission (guillotine choke)	French MMA Open	1	0:29	Paris , France
Win	1-0	Shinya Tsuchida	Decision (majority)	Golden Trophy 2000	3	5:00	Orléans , France
