Res.	Record	Opponent	Method	Round	Time	Location
Win	28–4–1	Ruben Villareal	TKO (leg kicks)	1	3:24	Los Angeles, California , United States
Win	27–4–1	Kevin Randleman	Decision (split)	1	21:00	Birmingham, Alabama , United States
Win	26–4–1	Tsuyoshi Kohsaka	TKO (punches)	1	14:15	Kenner, Louisiana , United States
Win	25–4–1	Kengo Watanabe	TKO (lost points)	1	2:58	Tokyo , Japan
Win	24–4–1	Keiichiro Yamamiya	Submission (rear naked choke)	1	4:58	Yokohama, Kanagawa , Japan
Win	23–4–1	Osami Shibuya	Submission (bas rutten neck crank)	1	3:15	Urayasu, Chiba , Japan
Win	22–4–1	Takaku Fuke	Submission (armbar)	1	4:28	Hakata, Fukuoka , Japan
Win	21–4–1	Kiuma Kunioku	Decision (lost points)	1	15:00	Urayasu, Chiba , Japan
Draw	20–4–1	Osami Shibuya	Draw	1	15:00	Nagoya, Aichi , Japan
Win	20–4	Manabu Yamada	Submission (toe hold)	1	0:54	Nagoya, Aichi , Japan
Win	19–4	Masakatsu Funaki	TKO (lost points)	1	17:05	Urayasu, Chiba , Japan
Win	18–4	Jason DeLucia	TKO (liver shot)	1	8:48	Fukuoka, Fukuoka , Japan
Win	17–4	Frank Shamrock	TKO (cut)	1	11:11	Tokyo , Japan
Win	16–4	Katsuomi Inagaki	TKO (lost points)	1	14:07	Tokyo , Japan
Win	15–4	Guy Mezger	Submission (heel hook)	1	19:36	Kobe, Hyogo , Japan
Win	14–4	Ryushi Yanagisawa	Submission (rear naked choke)	1	27:35	Sapporo, Hokkaido , Japan
Win	13–4	Maurice Smith	Submission (rear naked choke)	1	4:34	Yokohama, Kanagawa , Japan
Win	12–4	Minoru Suzuki	Submission (guillotine choke)	1	15:35	Tokyo , Japan
Win	11–4	Frank Shamrock	Decision (split)	1	15:00	Tokyo , Japan
Win	10–4	Jason DeLucia	Submission (toe hold)	1	1:32	Sapporo, Hokkaido , Japan
Win	9–4	Maurice Smith	Submission (kneebar)	1	2:10	Urayasu, Chiba , Japan
Win	8–4	Takaku Fuke	Submission (heel hook)	1	1:52	Nagoya, Aichi , Japan
Loss	7–4	Ken Shamrock	Submission (kneebar)	1	1:01	Yokohama, Kanagawa , Japan
Win	7–3	Manabu Yamada	Technical Submission (arm triangle choke)	1	1:05	Nagoya, Aichi , Japan
Loss	6–3	Frank Shamrock	Decision (majority)	1	10:00	Tokyo , Japan
Win	6–2	Jason DeLucia	Submission (guillotine choke)	1	1:43	Tokyo , Japan
Loss	5–2	Ken Shamrock	Submission (rear naked choke)	1	16:42	Tokyo , Japan
Win	5–1	Minoru Suzuki	KO (knee to the liver)	1	3:43	Amagasaki, Hyogo , Japan
Win	4–1	Kazuo Takahashi	Technical Submission (heel hook)	1	1:37	Tokyo , Japan
Win	3–1	Vernon White	Submission (guillotine choke)	1	1:16	Osaka, Osaka , Japan
Loss	2–1	Masakatsu Funaki	Submission (toe hold)	1	2:58	Yokohama, Kanagawa , Japan
Win	2–0	Takaku Fuke	TKO (Knee to the liver)	1	2:03	Nagoya, Aichi , Japan
Win	1–0	Ryushi Yanagisawa	KO (palm strike)	1	0:43	Urayasu, Chiba , Japan
