Match	Date	Opponent	Venue	Result	Turbine goals	Attendance	Report
1	19 August 2007	TSV Crailsheim	Away	1:0 (1:0)	none	522	Report
2	26 August 2007	Wattenscheid 09	Home	3:1 (1:1)	Wich (21.); Zietz (46.); Schiewe (51.)	1113	Report
3	7 October 2007	SG Essen-Schönebeck	Away	1:1 (1:0)	Peter (90., pen)	3042	Report
4	14 October 2007	SC 07 Bad Neuenahr	Home	2:0 (1:0)	Mittag (29., 66.)	1507	Report
6	11 November 2007	1. FFC Frankfurt	Home	1:1 (0:0)	Zietz (84.)	1102	Report
7	18 November 2007	1. FC Saarbrücken	Home	4:0 (1:0)	Wich (44., 74.); Sainio (84.); Mittag (90.)	715	Report
8	2 December 2007	FCR 2001 Duisburg	Away	0:1 (0:1)	Mittag (3.)	1062	Report
9	9 December 2007	Bayern Munich	Home	1:2 (1:2)	I. Kerschowski (4.)	811	Report
10	24 February 2008	Hamburger SV	Away	2:2 (1:1)	Mittag (29.); Wich (60.)	720	Report
11	2 March 2008	SC Freiburg	Home	1:1 (1:0)	I. Kerschowski (38.)	553	Report
12	24 March 2008	TSV Crailsheim	Home	2:1 (1:0)	Peter (29.); Zietz (85.)	750	Report
13	30 March 2008	Wattenscheid 09	Away	0:5 (0:2)	Zietz (16., 56., 66.); Wich (40.); Schmidt (75.)	552	Report
14	6 April 2008	SG Essen-Schönebeck	Home	3:0 (1:0)	Zietz (25., pen); Mittag (88.), Wich (90.)	913	Report
15	13 April 2008	SC 07 Bad Neuenahr	Away	2:1 (1:1)	Schmidt (30.)	730	Report
16	4 May 2008	VfL Wolfsburg	Home	3:2 (2:1)	Peter (6.); Hagemann (32.); Schmidt (67.)	915	Report
17	12 May 2008	1. FFC Frankfurt	Away	4:0 (2:0)	none	3120	Report
18	18 May 2008	1. FC Saarbrücken	Away	0:2 (0:1)	Wich (30., 87.)	1124	Report
19	25 May 2008	FCR 2001 Duisburg	Home	1:2 (0:1)	Peter (74., pen)	1182	Report
20	1 June 2008	Bayern Munich	Away	7:2 (3:0)	Mittag (47.); Larsen Kaurin (60.)	520	Report
