Club	Chairman	Current manager	Team captain	Kitmaker	Shirt sponsor
R.S.C. Anderlecht	Roger Vanden Stock	Ariel Jacobs	Lucas Biglia	Adidas	BNP Paribas Fortis
Cercle Brugge K.S.V.	Frans Schotte	Bob Peeters	Denis Viane	Masita	A D M B
R. Charleroi S.C.	Abbas Bayat	Luka Peruzović	Rudy Riou	Masita	VOO
Club Brugge K.V.	Pol Jonckheere	Adrie Koster	Carl Hoefkens	Puma	Dexia
K.A.S. Eupen	Dieter Steffens	Danny Ost	Danijel Miličević	Jartazi	Jartazi
K.R.C. Genk	Herbert Houben	Franky Vercauteren	Dániel Tőzsér	Nike	Euphony
K.A.A. Gent	Ivan De Witte	Francky Dury	Bernd Thijs	Jako	VDK
K.F.C. Germinal Beerschot	Jos Verhaegen	Jacky Mathijssen	Philippe Clement	Joma	Quick
K.V. Kortrijk	Jozef Allijns	Hein Vanhaezebrouck	Karim Belhocine	Nike	Digipass by VASCO
Lierse S.K.	Maged Samy	Trond Sollied	Jurgen Cavens	Jako	Wadi Degla
K.S.C. Lokeren Oost-Vlaanderen	Roger Lambrecht	Peter Maes	Killian Overmeire	Masita	Q-Team VP Lambrecht
KV Mechelen	Johan Timmermans	Marc Brys	Julien Gorius	Joma	Telenet
K. Sint-Truidense V.V.	Roland Duchâtelet	Guido Brepoels	Peter Delorge	Lotto	Belisol
Standard Liège	Reto Stiffler	Dominique D'Onofrio	Steven Defour	Planete Rouge	e-lotto.be
K.V.C. Westerlo	Herman Wijnants	Jan Ceulemans	Jef Delen	Saller	Willy Naessens
