Name	Total	League	Canadian Championship	CONCACAF Champions League
Stefan Frei Category:Articles with hCards	96 (0)	81 (0)	9 (0)	6 (0)
Jim Brennan Category:Articles with hCards	93 (4)	84 (4)	7 (0)	2 (0)
Julian de Guzman Category:Articles with hCards	93 (3)	65 (2)	10 (0)	18 (1)
Carl Robinson Category:Articles with hCards	84 (3)	74 (3)	8 (0)	2 (0)
Richard Eckersley Category:Articles with hCards	80 (0)	61 (0)	6 (0)	13 (0)
Chad Barrett Category:Articles with hCards	78 (21)	65 (16)	7 (3)	6 (2)
Dwayne De Rosario Category:Articles with hCards	75 (32)	57 (27)	8 (4)	10 (1)
Marvell Wynne Category:Articles with hCards	75 (2)	67 (2)	6 (0)	2 (0)
Nana Attakora Category:Articles with hCards	68 (4)	56 (3)	6 (0)	6 (1)
Ashtone Morgan Category:Articles with hCards	68 (0)	47 (0)	4 (0)	17 (0)
