Opposition	Score	Venue	City	Year
Derbyshire	589	Stanley Park	Blackpool	1994
Durham	562	Eastwood Gardens	Gateshead Fell	1992
Essex	686	County Ground	Chelmsford	1996
Glamorgan	564-9d	Old Trafford	Manchester	1938
Gloucestershire	474-3d	Aigburth	Liverpool	1903
Hampshire	676-7d	Old Trafford	Manchester	1911
Kent	531	Old Trafford	Manchester	1906
Leicestershire	590	Grace Road	Leicester	1899
Middlesex	734-5d	Old Trafford	Manchester	2003
Northamptonshire	600-6d	Old Trafford	Manchester	2001
Nottinghamshire	627	Trent Bridge	Nottingham	1905
Somerset	801	County Ground	Taunton	1895
Surrey	863	The Oval	London	1990
Sussex	640-8d	County Ground	Hove	1937
Warwickshire	781	Edgbaston	Birmingham	2003
Worcestershire	592-4d	New Road	Worcester	1929
Yorkshire	537	Old Trafford	Manchester	2005
